 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.899999976    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 beta =      0.500000000    
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.333 0.334   NaN   NaN   NaN
     5 71841 18878  2776 16865    50  0.299 0.324 0.378 0.213 0.224 0.563
    10 71565 18932  2640 16048    50  0.254 0.292 0.454 0.161 0.174 0.665
    15 69859 18518  2824 15407    50  0.211 0.256 0.534 0.120 0.136 0.744
    20 67689 18113  2913 14579    50  0.175 0.221 0.605 0.090 0.108 0.802
    25 65388 17398  3126 13939    50  0.146 0.192 0.662 0.069 0.088 0.842
    30 63720 16888  3395 13226    50  0.123 0.167 0.710 0.055 0.074 0.871
    35 62023 16655  3398 12874    50  0.105 0.148 0.747 0.045 0.063 0.892
    40 60200 16141  3620 12384    50  0.092 0.132 0.776 0.039 0.055 0.906
    45 58159 15786  3697 11663    50  0.082 0.122 0.796 0.034 0.048 0.918
    50 56524 15309  3686 11140    50  0.074 0.113 0.812 0.029 0.042 0.928
    55 55434 14808  3880 10815    50  0.070 0.106 0.824 0.027 0.038 0.935
    60 53893 14501  3925 10433    50  0.066 0.102 0.832 0.024 0.035 0.941
    65 52731 14324  3872 10121    50  0.064 0.101 0.835 0.023 0.032 0.945
    70 51870 14025  4104  9958    50  0.063 0.102 0.835 0.021 0.030 0.948
    75 51406 13939  4037  9615    50  0.063 0.102 0.834 0.020 0.030 0.950
    80 51221 13581  4026  9647    50  0.064 0.105 0.830 0.019 0.029 0.952
    85 50950 13783  4111  9653    50  0.066 0.108 0.825 0.019 0.028 0.952
    90 50508 13665  4144  9518    50  0.068 0.112 0.820 0.019 0.029 0.952
    95 50372 13503  4166  9471    50  0.069 0.114 0.817 0.019 0.029 0.952
   100 50784 13800  4202  9576    50  0.070 0.116 0.814 0.020 0.029 0.951
   105 51108 14010  4254  9727    50  0.071 0.118 0.812 0.020 0.030 0.951
   110 51242 13814  4185  9732    50  0.071 0.120 0.809 0.019 0.030 0.951
   115 51008 13769  4068  9545    50  0.072 0.122 0.806 0.018 0.029 0.953
   120 51285 13807  4142  9710    50  0.071 0.123 0.805 0.019 0.030 0.951
   125 51185 13752  4229  9701    50  0.070 0.122 0.808 0.019 0.029 0.952
