 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.899999976    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 beta =       1.00000000    
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.334 0.334 0.332   NaN   NaN   NaN
     5 52264 14415  3982  9879    50  0.311 0.345 0.343 0.241 0.246 0.512
    10 51578 13965  4142  9701    50  0.279 0.338 0.383 0.210 0.230 0.560
    15 50857 13448  4171  9290    50  0.253 0.327 0.420 0.184 0.214 0.602
    20 49136 13271  4133  8945    50  0.230 0.316 0.454 0.163 0.198 0.639
    25 47846 12899  4353  8428    50  0.212 0.303 0.485 0.146 0.185 0.669
    30 46470 12614  4362  8171    50  0.198 0.294 0.508 0.132 0.175 0.693
    35 45654 12360  4333  7846    50  0.185 0.288 0.527 0.120 0.166 0.714
    40 44723 12151  4418  7648    50  0.175 0.280 0.545 0.112 0.158 0.730
    45 43645 11898  4408  7288    50  0.166 0.276 0.558 0.105 0.154 0.741
    50 42796 11710  4472  7063    50  0.159 0.273 0.568 0.099 0.149 0.752
    55 42869 11652  4583  7225    50  0.153 0.272 0.575 0.093 0.147 0.760
    60 42826 11737  4515  7095    50  0.149 0.271 0.580 0.089 0.144 0.768
    65 42377 11657  4409  7103    50  0.144 0.270 0.585 0.086 0.143 0.771
    70 42307 11520  4462  7072    50  0.141 0.271 0.587 0.083 0.142 0.775
    75 42237 11460  4518  6960    50  0.138 0.271 0.592 0.079 0.138 0.783
    80 41841 11620  4574  6896    50  0.135 0.272 0.593 0.077 0.137 0.786
    85 41620 11399  4585  6734    50  0.132 0.272 0.596 0.074 0.136 0.790
    90 41694 11481  4509  6867    50  0.130 0.272 0.598 0.073 0.137 0.790
    95 41657 11325  4533  6803    50  0.127 0.271 0.602 0.071 0.133 0.795
   100 41715 11535  4593  6942    50  0.125 0.268 0.607 0.069 0.133 0.798
   105 41246 11381  4633  6770    50  0.123 0.267 0.609 0.068 0.132 0.800
   110 41185 11100  4574  6755    50  0.122 0.268 0.611 0.066 0.131 0.803
   115 41185 11251  4596  6678    50  0.120 0.268 0.611 0.066 0.133 0.801
   120 41081 11263  4521  6749    50  0.119 0.268 0.613 0.065 0.134 0.802
   125 41424 11342  4633  6829    50  0.118 0.268 0.614 0.064 0.133 0.804
   130 41052 11350  4655  6704    50  0.117 0.268 0.615 0.063 0.133 0.804
   135 41258 11292  4594  6734    50  0.115 0.264 0.621 0.062 0.134 0.804
   140 40808 11290  4463  6736    50  0.114 0.264 0.623 0.061 0.132 0.807
   145 40908 11387  4499  6651    50  0.112 0.262 0.626 0.061 0.133 0.807
   150 40735 11123  4450  6628    50  0.111 0.260 0.630 0.060 0.133 0.807
   155 40847 11237  4477  6579    50  0.109 0.258 0.633 0.058 0.131 0.811
   160 40770 11175  4637  6615    50  0.107 0.257 0.636 0.058 0.130 0.812
   165 40757 11073  4646  6380    50  0.106 0.254 0.640 0.057 0.130 0.813
   170 40519 11321  4597  6441    50  0.105 0.252 0.643 0.056 0.129 0.815
   175 39808 11074  4558  6278    50  0.103 0.250 0.647 0.055 0.127 0.818
   180 39502 10671  4525  6239    50  0.102 0.247 0.651 0.055 0.129 0.816
   185 39516 10816  4667  6170    50  0.101 0.245 0.654 0.054 0.128 0.818
