 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =        0.00000000    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            2000
 Myseed =         84563
 nmap =              50
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.334 0.334 0.332   NaN   NaN   NaN
     5 52875 14234  4004 10069    50  0.310 0.345 0.345 0.247 0.252 0.501
    10 51720 13930  4032  9839    50  0.279 0.330 0.391 0.224 0.243 0.533
    15 50763 13793  4032  9469    50  0.255 0.314 0.432 0.207 0.236 0.557
    20 49749 13590  4196  9136    50  0.236 0.298 0.466 0.194 0.229 0.577
    25 48556 13104  4143  8629    50  0.219 0.284 0.497 0.183 0.222 0.596
    30 47465 13001  4286  8467    50  0.206 0.270 0.524 0.173 0.217 0.610
    35 46250 12496  4222  8039    50  0.195 0.257 0.548 0.166 0.210 0.624
    40 45419 12370  4329  7761    50  0.185 0.248 0.567 0.159 0.205 0.636
    45 44510 12070  4389  7591    50  0.177 0.237 0.586 0.155 0.199 0.646
    50 43504 11829  4517  7246    50  0.170 0.228 0.602 0.150 0.194 0.655
    55 42914 11680  4522  7158    50  0.164 0.221 0.615 0.146 0.190 0.664
    60 41713 11610  4503  6756    50  0.158 0.214 0.628 0.142 0.186 0.671
    65 40685 11215  4542  6560    50  0.153 0.208 0.639 0.139 0.184 0.678
    70 40367 11168  4606  6349    50  0.148 0.203 0.649 0.135 0.181 0.684
    75 40044 11116  4587  6307    50  0.144 0.198 0.658 0.133 0.178 0.689
    80 39390 10888  4596  6068    50  0.141 0.194 0.666 0.130 0.175 0.695
    85 38561 10855  4620  5887    50  0.138 0.189 0.673 0.128 0.172 0.699
    90 37965 10431  4553  5773    50  0.135 0.186 0.680 0.126 0.170 0.703
    95 37861 10511  4651  5795    50  0.132 0.182 0.686 0.124 0.168 0.708
   100 37284 10313  4745  5656    50  0.129 0.179 0.691 0.122 0.166 0.712
