 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.750000000    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            2000
 Myseed =         84563
 nmap =              50
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.334 0.333 0.333   NaN   NaN   NaN
     5 52653 14122  3823 10097    50  0.310 0.344 0.346 0.243 0.249 0.508
    10 51754 14149  4104  9642    50  0.282 0.333 0.385 0.216 0.232 0.552
    15 50416 13822  4140  9400    50  0.254 0.322 0.424 0.192 0.219 0.589
    20 49400 13381  4336  8890    50  0.230 0.309 0.461 0.173 0.206 0.621
    25 47968 13184  4176  8502    50  0.214 0.294 0.492 0.159 0.196 0.645
    30 46308 12768  4432  8110    50  0.200 0.281 0.519 0.145 0.187 0.668
    35 44702 12452  4308  7547    50  0.186 0.268 0.546 0.135 0.180 0.685
    40 43906 12137  4479  7374    50  0.173 0.256 0.571 0.127 0.174 0.699
    45 42960 11831  4494  7040    50  0.164 0.247 0.589 0.119 0.167 0.714
    50 42059 11498  4494  6913    50  0.156 0.238 0.606 0.113 0.161 0.727
    55 41187 11233  4622  6633    50  0.149 0.229 0.622 0.109 0.156 0.735
    60 40279 10953  4609  6455    50  0.143 0.220 0.637 0.105 0.153 0.741
    65 39118 10932  4601  5982    50  0.137 0.214 0.650 0.102 0.151 0.747
    70 38067 10704  4631  5781    50  0.132 0.207 0.661 0.099 0.149 0.753
    75 37677 10493  4595  5695    50  0.127 0.203 0.670 0.096 0.146 0.758
    80 37627 10106  4726  5630    50  0.125 0.198 0.677 0.094 0.143 0.763
    85 36852 10194  4688  5359    50  0.121 0.192 0.687 0.092 0.140 0.768
    90 36141  9965  4769  5253    50  0.118 0.187 0.695 0.091 0.139 0.770
    95 35783  9918  4616  5077    50  0.115 0.184 0.701 0.089 0.137 0.774
   100 35375  9875  4607  5018    50  0.112 0.180 0.708 0.087 0.135 0.778
   105 34379  9622  4632  4851    50  0.109 0.175 0.716 0.086 0.132 0.782
   110 34132  9381  4656  4795    50  0.106 0.172 0.722 0.084 0.130 0.786
   115 33600  9411  4696  4724    50  0.104 0.168 0.728 0.083 0.128 0.789
   120 33061  9394  4683  4450    50  0.102 0.165 0.734 0.082 0.126 0.792
   125 32847  9168  4636  4408    50  0.100 0.162 0.738 0.080 0.125 0.795
   130 32182  9110  4717  4234    50  0.098 0.159 0.743 0.078 0.124 0.798
