 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.334 0.333 0.333   NaN   NaN   NaN
     5 52798 14446  4049 10048    50  0.311 0.347 0.342 0.239 0.245 0.516
    10 51572 13916  4133  9598    50  0.279 0.340 0.381 0.208 0.223 0.569
    15 50276 13775  4167  9256    50  0.252 0.330 0.419 0.181 0.206 0.612
    20 48615 13280  4300  8611    50  0.229 0.320 0.452 0.159 0.190 0.651
    25 47385 12902  4393  8398    50  0.212 0.311 0.477 0.140 0.176 0.684
    30 46423 12713  4352  8124    50  0.197 0.304 0.499 0.126 0.165 0.710
    35 45676 12461  4429  7952    50  0.185 0.298 0.518 0.114 0.155 0.731
    40 44297 12131  4366  7613    50  0.178 0.295 0.527 0.107 0.149 0.744
    45 44741 11946  4482  7667    50  0.172 0.299 0.530 0.099 0.146 0.755
    50 44317 12022  4369  7476    50  0.166 0.300 0.534 0.093 0.141 0.767
    55 44178 11982  4507  7573    50  0.161 0.302 0.537 0.087 0.136 0.777
    60 43910 11911  4401  7468    50  0.157 0.307 0.536 0.082 0.135 0.782
    65 44091 11699  4436  7550    50  0.154 0.314 0.532 0.078 0.134 0.788
    70 43958 11972  4428  7747    50  0.153 0.321 0.526 0.075 0.131 0.795
    75 44939 12018  4525  7815    50  0.151 0.327 0.522 0.073 0.132 0.795
    80 45406 12293  4435  7983    50  0.150 0.333 0.517 0.070 0.131 0.799
    85 45251 12550  4324  8058    50  0.147 0.336 0.516 0.067 0.130 0.803
    90 45496 12581  4274  8034    50  0.145 0.341 0.514 0.065 0.131 0.804
    95 45890 12381  4434  8156    50  0.142 0.341 0.516 0.063 0.131 0.806
   100 45952 12429  4377  8153    50  0.140 0.343 0.517 0.061 0.131 0.807
   105 45768 12574  4390  8204    50  0.138 0.344 0.518 0.059 0.131 0.810
   110 46258 12534  4345  8196    50  0.135 0.346 0.519 0.057 0.129 0.813
   115 46275 12626  4241  8233    50  0.134 0.351 0.516 0.056 0.130 0.815
   120 46108 12577  4273  8181    50  0.132 0.351 0.517 0.054 0.128 0.818
   125 46006 12427  4459  8116    50  0.129 0.350 0.521 0.052 0.127 0.821
   130 46240 12688  4488  8059    50  0.127 0.349 0.525 0.050 0.125 0.825
   135 45880 12531  4316  8109    50  0.124 0.347 0.529 0.049 0.125 0.826
   140 46100 12662  4457  8025    50  0.122 0.348 0.529 0.048 0.125 0.827
   145 46616 12601  4387  8310    50  0.122 0.352 0.526 0.047 0.128 0.825
   150 46544 12866  4447  8258    50  0.121 0.351 0.528 0.047 0.126 0.827
   155 46516 12748  4282  8296    50  0.120 0.352 0.528 0.046 0.124 0.830
   160 45840 12711  4377  8127    50  0.119 0.353 0.528 0.045 0.126 0.829
   165 46237 12446  4434  8198    50  0.117 0.351 0.532 0.045 0.125 0.830
   170 46440 12700  4448  8221    50  0.115 0.349 0.535 0.044 0.125 0.831
   175 46258 12424  4395  8097    50  0.114 0.347 0.539 0.044 0.124 0.833
   180 45832 12562  4436  8094    50  0.112 0.346 0.542 0.042 0.121 0.837
   185 45825 12333  4275  8032    50  0.111 0.342 0.548 0.043 0.123 0.834
   190 45696 12006  4412  7983    50  0.110 0.338 0.552 0.042 0.120 0.839
   195 45297 12374  4370  7814    50  0.109 0.337 0.554 0.041 0.119 0.840
   200 44996 12278  4369  7869    50  0.109 0.337 0.554 0.041 0.121 0.838
   205 44867 12360  4462  7792    50  0.108 0.336 0.556 0.041 0.120 0.839
   210 44826 12198  4361  7858    50  0.108 0.337 0.555 0.042 0.123 0.835
   215 44709 12226  4407  7762    50  0.107 0.335 0.558 0.042 0.125 0.833
   220 44945 12085  4419  7887    50  0.107 0.335 0.558 0.042 0.125 0.833
   225 45135 12350  4420  7868    50  0.106 0.334 0.559 0.041 0.123 0.835
   230 44998 12219  4468  7792    50  0.105 0.332 0.564 0.041 0.122 0.837
   235 44747 12160  4441  7808    50  0.103 0.330 0.566 0.040 0.122 0.838
   240 45127 12124  4524  7816    50  0.103 0.330 0.567 0.040 0.121 0.838
   245 44429 12393  4356  7743    50  0.101 0.326 0.574 0.040 0.123 0.837
   250 44461 12113  4558  7616    50  0.101 0.323 0.576 0.040 0.120 0.841
   255 44394 11963  4599  7580    50  0.100 0.322 0.579 0.040 0.121 0.839
   260 44303 12086  4596  7655    50  0.099 0.320 0.580 0.040 0.120 0.840
   265 43858 11891  4480  7596    50  0.098 0.319 0.583 0.039 0.119 0.842
   270 43838 12042  4475  7560    50  0.097 0.318 0.585 0.039 0.120 0.841
   275 43991 12081  4456  7577    50  0.096 0.316 0.588 0.039 0.119 0.842
   280 43906 11941  4528  7479    50  0.095 0.314 0.591 0.038 0.117 0.845
   285 43635 11893  4463  7473    50  0.094 0.311 0.595 0.038 0.117 0.845
   290 43106 11868  4392  7432    50  0.093 0.310 0.597 0.038 0.116 0.845
   295 43082 11587  4474  7206    50  0.093 0.307 0.600 0.038 0.115 0.847
   300 43169 11636  4580  7172    50  0.092 0.306 0.602 0.038 0.115 0.847
   305 43568 11722  4594  7248    50  0.092 0.305 0.603 0.038 0.117 0.844
   310 42921 11645  4540  7184    50  0.091 0.302 0.607 0.038 0.116 0.846
   315 42663 11861  4540  7209    50  0.091 0.302 0.607 0.038 0.119 0.843
   320 42673 11709  4476  7232    50  0.090 0.301 0.608 0.037 0.117 0.845
   325 42489 11778  4456  6987    50  0.090 0.300 0.611 0.037 0.115 0.848
   330 42120 11643  4646  6896    50  0.090 0.297 0.613 0.037 0.114 0.849
   335 41732 11649  4428  6966    50  0.089 0.295 0.616 0.037 0.117 0.846
   340 41750 11504  4503  6860    50  0.089 0.294 0.617 0.037 0.117 0.846
   345 41734 11595  4411  6949    50  0.089 0.294 0.617 0.037 0.115 0.848
   350 41944 11467  4752  6842    50  0.088 0.291 0.622 0.037 0.116 0.847
   355 41685 11445  4500  6735    50  0.087 0.290 0.623 0.037 0.114 0.849
   360 41342 11412  4572  6747    50  0.086 0.287 0.627 0.037 0.114 0.849
   365 41554 11337  4566  6829    50  0.086 0.286 0.628 0.037 0.115 0.848
   370 41260 11291  4565  6724    50  0.086 0.286 0.629 0.036 0.114 0.850
   375 41219 11234  4456  6817    50  0.085 0.283 0.632 0.037 0.115 0.849
   380 40956 11215  4490  6720    50  0.085 0.281 0.634 0.037 0.115 0.849
   385 40748 11199  4555  6631    50  0.085 0.282 0.633 0.037 0.116 0.847
   390 40774 11125  4533  6682    50  0.085 0.282 0.634 0.037 0.116 0.847
   395 40824 11228  4541  6598    50  0.084 0.281 0.635 0.037 0.116 0.847
   400 40691 11266  4541  6538    50  0.083 0.278 0.639 0.036 0.115 0.848
   405 40793 11255  4551  6642    50  0.084 0.277 0.639 0.036 0.116 0.848
   410 40716 10937  4557  6537    50  0.083 0.275 0.642 0.036 0.114 0.850
   415 40640 11102  4586  6638    50  0.083 0.273 0.644 0.036 0.114 0.849
   420 39977 11266  4500  6501    50  0.083 0.274 0.643 0.037 0.114 0.849
   425 39824 10892  4503  6455    50  0.083 0.272 0.645 0.037 0.115 0.848
   430 40125 11075  4596  6442    50  0.083 0.273 0.644 0.037 0.118 0.845
   435 40567 11089  4575  6427    50  0.083 0.272 0.645 0.037 0.117 0.846
   440 40522 11027  4485  6600    50  0.083 0.269 0.648 0.037 0.116 0.847
   445 40359 11153  4496  6579    50  0.083 0.268 0.650 0.037 0.117 0.846
   450 40159 11085  4556  6456    50  0.082 0.268 0.650 0.036 0.115 0.848
   455 39973 10869  4628  6247    50  0.081 0.265 0.655 0.036 0.112 0.852
   460 39630 10732  4541  6310    50  0.080 0.263 0.656 0.036 0.113 0.851
   465 39653 10799  4586  6420    50  0.080 0.262 0.658 0.037 0.115 0.848
   470 39700 10751  4652  6254    50  0.080 0.259 0.661 0.037 0.115 0.848
   475 39778 10962  4513  6352    50  0.080 0.260 0.660 0.037 0.115 0.847
   480 39845 10893  4652  6302    49  0.080 0.259 0.660 0.038 0.116 0.847
   485 39376 10917  4497  6209    49  0.080 0.258 0.663 0.038 0.115 0.847
   490 39147 10667  4618  6159    49  0.079 0.255 0.666 0.037 0.114 0.848
   495 39322 10791  4645  6206    49  0.078 0.253 0.669 0.038 0.116 0.846
   500 39328 10757  4793  6120    48  0.078 0.252 0.670 0.037 0.113 0.850
   505 38924 10666  4626  6084    48  0.078 0.250 0.673 0.036 0.111 0.853
   510 38528 10520  4593  5948    48  0.078 0.248 0.675 0.036 0.109 0.855
   515 37982 10674  4510  5808    48  0.078 0.246 0.676 0.037 0.112 0.852
   520 38225 10447  4558  6004    48  0.078 0.246 0.676 0.037 0.113 0.851
   525 38101 10635  4671  5943    48  0.078 0.246 0.676 0.037 0.115 0.848
   530 38697 10472  4729  5981    48  0.078 0.246 0.676 0.037 0.113 0.850
   535 38120 10516  4641  5921    48  0.078 0.245 0.678 0.037 0.113 0.850
   540 38061 10401  4593  5927    48  0.077 0.244 0.679 0.037 0.113 0.850
   545 38204 10621  4599  5887    48  0.077 0.241 0.682 0.037 0.111 0.852
   550 37682 10513  4645  5751    48  0.077 0.242 0.682 0.036 0.108 0.856
   555 37377 10518  4562  5541    48  0.077 0.239 0.684 0.037 0.110 0.853
   560 37569 10347  4588  5783    48  0.076 0.237 0.687 0.037 0.110 0.853
   565 37183 10319  4632  5620    48  0.076 0.238 0.686 0.036 0.109 0.854
   570 37215 10291  4602  5696    48  0.076 0.235 0.689 0.036 0.107 0.856
   575 37217 10295  4503  5601    48  0.076 0.235 0.689 0.036 0.108 0.856
   580 36589 10487  4520  5437    48  0.075 0.233 0.692 0.036 0.107 0.857
   585 36895 10157  4652  5469    48  0.075 0.231 0.694 0.036 0.107 0.857
   590 36687 10266  4555  5560    48  0.075 0.231 0.694 0.037 0.108 0.855
   595 36720 10106  4544  5645    47  0.075 0.231 0.694 0.038 0.110 0.852
   600 36461 10239  4635  5545    47  0.075 0.230 0.695 0.037 0.109 0.853
   605 36651 10314  4654  5580    47  0.075 0.231 0.694 0.037 0.109 0.853
   610 36674 10166  4693  5411    47  0.075 0.229 0.696 0.037 0.109 0.854
   615 36703 10087  4657  5612    47  0.075 0.230 0.695 0.037 0.110 0.852
   620 36649 10204  4756  5501    47  0.074 0.228 0.698 0.037 0.108 0.855
   625 36448 10144  4664  5478    47  0.074 0.227 0.699 0.037 0.110 0.853
   630 36640 10135  4687  5513    47  0.074 0.228 0.697 0.038 0.111 0.851
   635 36469 10165  4562  5532    47  0.075 0.228 0.697 0.037 0.110 0.853
   640 36860  9833  4700  5503    47  0.074 0.227 0.700 0.038 0.112 0.850
   645 36360 10022  4628  5382    47  0.074 0.226 0.700 0.038 0.114 0.848
   650 36440 10116  4706  5581    47  0.074 0.225 0.701 0.038 0.113 0.849
   655 36569 10034  4546  5375    47  0.073 0.225 0.702 0.038 0.112 0.851
   660 36366 10266  4700  5437    47  0.073 0.224 0.703 0.038 0.113 0.850
   665 35942 10043  4693  5364    47  0.073 0.223 0.704 0.038 0.112 0.850
   670 36215  9999  4712  5364    47  0.073 0.222 0.706 0.038 0.112 0.850
   675 36177 10104  4684  5403    47  0.073 0.221 0.706 0.038 0.112 0.850
   680 36148  9905  4646  5239    47  0.072 0.220 0.708 0.038 0.109 0.853
   685 35782  9928  4574  5253    47  0.072 0.217 0.711 0.037 0.109 0.853
   690 35456  9899  4652  5178    47  0.072 0.216 0.712 0.038 0.110 0.852
   695 35346  9903  4613  5114    47  0.072 0.215 0.714 0.038 0.109 0.853
   700 35219  9753  4588  5158    47  0.072 0.214 0.714 0.038 0.110 0.852
   705 35220  9775  4609  5154    47  0.072 0.214 0.714 0.038 0.109 0.853
   710 35244  9707  4529  5088    47  0.072 0.213 0.715 0.038 0.108 0.854
   715 35028  9685  4640  5054    47  0.071 0.212 0.717 0.038 0.110 0.852
   720 35036  9758  4581  5060    47  0.071 0.211 0.718 0.038 0.110 0.852
   725 34929  9633  4643  5031    47  0.070 0.211 0.718 0.038 0.111 0.851
   730 35103  9561  4742  5151    47  0.070 0.211 0.719 0.037 0.109 0.854
   735 34815  9705  4612  4996    47  0.069 0.208 0.722 0.037 0.108 0.855
   740 35031  9550  4603  5044    47  0.069 0.209 0.722 0.037 0.107 0.856
   745 34871  9495  4643  5012    47  0.069 0.207 0.724 0.037 0.107 0.856
   750 34359  9633  4653  4899    47  0.069 0.206 0.725 0.037 0.107 0.856
   755 34355  9687  4597  4995    47  0.069 0.206 0.726 0.037 0.107 0.856
   760 34363  9605  4675  4952    47  0.069 0.206 0.725 0.037 0.107 0.856
   765 34281  9550  4623  4827    47  0.069 0.205 0.726 0.037 0.107 0.857
   770 34196  9445  4626  4858    47  0.069 0.205 0.726 0.036 0.105 0.859
   775 34542  9377  4654  4922    46  0.069 0.203 0.728 0.037 0.106 0.858
   780 34270  9589  4539  4887    46  0.069 0.203 0.729 0.037 0.105 0.858
