 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.349999994    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.334 0.333 0.332   NaN   NaN   NaN
     5 66505 18421 10006  8950    50  0.340 0.336 0.324 0.247 0.232 0.521
    10 66059 18404  9781  8361    50  0.327 0.323 0.350 0.225 0.202 0.573
    15 64979 18285  9997  7930    50  0.318 0.309 0.373 0.205 0.180 0.615
    20 64348 18121 10238  7622    50  0.312 0.297 0.391 0.189 0.161 0.650
    25 63726 17883 10439  7440    50  0.307 0.285 0.408 0.174 0.144 0.682
    30 63064 17621 10550  7186    50  0.304 0.275 0.420 0.159 0.131 0.710
    35 62388 17589 10840  6748    50  0.303 0.268 0.429 0.148 0.119 0.732
    40 62024 17605 10950  6601    50  0.302 0.264 0.434 0.138 0.110 0.751
    45 61657 17418 10871  6432    50  0.304 0.262 0.434 0.130 0.102 0.768
    50 61626 17474 10992  6289    50  0.307 0.261 0.432 0.123 0.097 0.780
    55 61343 17325 11066  6227    50  0.310 0.261 0.429 0.115 0.091 0.794
    60 61314 17288 11179  6211    50  0.314 0.262 0.423 0.109 0.086 0.805
    65 60940 17353 11159  6123    50  0.319 0.265 0.416 0.103 0.081 0.816
    70 61221 17230 11233  6158    50  0.323 0.267 0.410 0.098 0.078 0.823
    75 60835 17334 11024  6072    50  0.325 0.268 0.407 0.094 0.075 0.831
    80 60960 17335 10989  6288    50  0.328 0.272 0.400 0.092 0.073 0.835
    85 61446 17251 11183  6270    50  0.331 0.276 0.393 0.089 0.071 0.841
    90 61273 17220 11007  6209    50  0.330 0.277 0.393 0.086 0.069 0.846
    95 61312 17260 10996  6098    50  0.334 0.279 0.387 0.082 0.066 0.852
   100 61279 17280 11105  6224    50  0.338 0.280 0.382 0.080 0.065 0.856
   105 60978 17420 11190  6119    50  0.338 0.280 0.382 0.076 0.063 0.861
   110 61254 17440 11082  6309    50  0.337 0.281 0.382 0.075 0.062 0.863
   115 61136 17331 11294  6258    50  0.339 0.281 0.380 0.075 0.062 0.863
   120 61040 17279 11052  6208    50  0.343 0.283 0.374 0.074 0.061 0.865
   125 61233 17174 11016  6298    50  0.345 0.284 0.371 0.070 0.059 0.871
   130 61174 17347 11059  6258    50  0.345 0.283 0.372 0.071 0.059 0.871
   135 61270 17157 10968  6283    50  0.347 0.286 0.368 0.070 0.058 0.872
   140 61404 17351 10864  6255    50  0.349 0.286 0.365 0.070 0.058 0.872
   145 61085 17351 11032  6432    50  0.349 0.286 0.365 0.070 0.058 0.872
   150 61045 17576 11064  6260    50  0.350 0.287 0.363 0.069 0.058 0.873
   155 61276 17301 11078  6216    50  0.350 0.286 0.364 0.068 0.058 0.874
