 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         7.00000003E-02
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.334 0.333 0.333   NaN   NaN   NaN
     5 52805 14109  4020 10072    50  0.311 0.345 0.343 0.240 0.244 0.517
    10 51380 13847  4027  9567    50  0.279 0.339 0.382 0.205 0.224 0.571
    15 50368 13596  4245  9138    50  0.254 0.330 0.415 0.180 0.204 0.617
    20 48570 13262  4145  8752    50  0.234 0.320 0.446 0.158 0.186 0.656
    25 47429 12931  4388  8445    50  0.217 0.313 0.469 0.140 0.171 0.689
    30 46436 12505  4349  8080    50  0.204 0.307 0.489 0.127 0.159 0.714
    35 45131 12573  4388  7902    50  0.195 0.303 0.502 0.117 0.153 0.731
    40 44617 12191  4353  7546    50  0.188 0.304 0.509 0.107 0.144 0.749
    45 44409 12259  4483  7545    50  0.182 0.308 0.510 0.101 0.139 0.760
    50 44102 12085  4436  7578    50  0.178 0.311 0.510 0.097 0.136 0.767
    55 44382 12057  4540  7591    50  0.173 0.317 0.509 0.095 0.134 0.771
    60 44497 12129  4406  7688    50  0.172 0.323 0.504 0.091 0.133 0.776
    65 44779 12101  4396  7800    50  0.170 0.332 0.498 0.089 0.133 0.778
    70 44925 12072  4393  7812    50  0.167 0.338 0.495 0.086 0.130 0.784
    75 45704 12473  4386  8154    50  0.167 0.347 0.486 0.084 0.130 0.786
    80 45771 12464  4330  8072    50  0.166 0.351 0.482 0.081 0.128 0.790
    85 46322 12376  4282  8289    50  0.166 0.357 0.477 0.079 0.129 0.791
    90 46687 12691  4347  8415    50  0.163 0.362 0.475 0.078 0.129 0.793
    95 46789 12787  4337  8416    50  0.160 0.367 0.472 0.077 0.130 0.793
   100 47265 12659  4311  8493    50  0.157 0.373 0.470 0.074 0.130 0.797
   105 47387 12833  4163  8517    50  0.156 0.376 0.468 0.073 0.129 0.798
   110 47416 12879  4225  8664    50  0.155 0.380 0.466 0.071 0.128 0.801
   115 47861 12950  4249  8719    50  0.154 0.383 0.463 0.071 0.129 0.800
   120 48127 13023  4380  8788    50  0.154 0.387 0.459 0.070 0.127 0.803
   125 48344 12997  4264  8894    50  0.154 0.390 0.456 0.070 0.126 0.805
   130 48273 13005  4234  8856    50  0.153 0.392 0.455 0.068 0.125 0.807
   135 48630 13251  4332  8990    50  0.152 0.395 0.452 0.066 0.124 0.810
   140 48666 13242  4228  9027    50  0.151 0.398 0.451 0.065 0.125 0.809
   145 48694 13241  4184  8890    50  0.151 0.401 0.448 0.063 0.124 0.813
   150 48797 13238  4225  9022    50  0.149 0.402 0.448 0.063 0.123 0.814
   155 48704 13056  4159  8988    50  0.148 0.402 0.450 0.063 0.124 0.813
   160 48677 13278  4437  8930    50  0.148 0.403 0.450 0.063 0.124 0.813
   165 48503 13324  4352  8885    50  0.148 0.400 0.453 0.062 0.124 0.814
   170 48742 13137  4228  9012    50  0.147 0.401 0.452 0.061 0.122 0.817
   175 48862 13086  4290  8895    50  0.148 0.397 0.455 0.062 0.122 0.816
   180 48806 13257  4289  9019    50  0.148 0.400 0.451 0.063 0.124 0.813
   185 48684 13085  4173  8876    50  0.148 0.398 0.454 0.062 0.120 0.818
   190 48658 13215  4250  8881    50  0.147 0.398 0.454 0.061 0.119 0.820
   195 48552 12998  4239  8994    50  0.148 0.397 0.456 0.061 0.120 0.818
   200 48344 13076  4268  8877    50  0.147 0.399 0.453 0.061 0.120 0.819
   205 48420 13097  4266  8848    50  0.147 0.399 0.454 0.061 0.121 0.817
   210 48695 13222  4204  8887    50  0.147 0.400 0.453 0.061 0.122 0.818
   215 48191 13099  4234  8854    50  0.146 0.398 0.456 0.061 0.123 0.816
   220 48913 13064  4281  8979    50  0.146 0.398 0.457 0.060 0.122 0.817
   225 48785 13074  4313  8970    50  0.144 0.400 0.456 0.061 0.124 0.815
   230 48754 13130  4196  8889    50  0.144 0.401 0.455 0.061 0.123 0.816
   235 48406 13224  4204  8798    50  0.145 0.401 0.454 0.061 0.122 0.817
   240 48375 13102  4368  8822    50  0.144 0.399 0.457 0.061 0.122 0.817
   245 48416 13221  4299  8786    50  0.145 0.399 0.457 0.061 0.123 0.816
   250 48659 13401  4318  9046    50  0.145 0.402 0.454 0.061 0.124 0.815
   255 48803 13126  4158  9018    50  0.146 0.402 0.452 0.062 0.125 0.813
   260 48713 13188  4178  8947    50  0.145 0.400 0.455 0.062 0.125 0.813
   265 48986 13284  4278  8972    50  0.145 0.399 0.456 0.061 0.124 0.815
   270 48716 12945  4280  8886    50  0.145 0.397 0.458 0.061 0.122 0.817
