trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_lbeta_1_0.500,0,29999,5947,54052,89998,0,0,59999,2459,2500,2573,0,0,0,0
temp_lbeta_1_0.667,0,29998,6071,53929,89998,0,0,60000,2432,2451,2573,0,0,0,0
temp_lbeta_1_0.800,0,30000,5961,54037,89998,0,0,59998,2637,2544,2488,0,0,0,0
temp_lbeta_1_1.000,0,30000,6059,53939,89998,0,0,59998,2512,2543,2461,0,0,0,0
temp_lbeta_1_1.250,0,29999,5894,54105,89998,0,0,59999,2531,2529,2472,0,0,0,0
temp_lbeta_1_1.500,0,30000,6053,53945,89998,0,0,59998,2516,2481,2535,0,0,0,0
temp_lbeta_1_2.000,0,30000,5922,54076,89998,0,0,59997,2476,2510,2476,0,0,0,0
temp_ubeta_1_0.500,0,29999,6081,53918,89998,0,0,59999,2529,2542,2552,0,0,0,0
temp_ubeta_1_0.667,0,29999,6019,53980,89998,0,0,59999,2475,2476,2459,0,0,0,0
temp_ubeta_1_0.800,0,30000,6015,53983,89998,0,0,59998,2498,2529,2453,0,0,0,0
temp_ubeta_1_1.000,0,29999,5995,54004,89998,0,0,59999,2573,2485,2471,0,0,0,0
temp_ubeta_1_1.250,0,29998,5938,54062,89998,0,0,60000,2559,2552,2539,0,0,0,0
temp_ubeta_1_1.500,0,30000,6080,53918,89998,0,0,59998,2515,2497,2489,0,0,0,0
temp_ubeta_1_2.000,0,29999,6059,53940,89998,0,0,59999,2494,2570,2511,0,0,0,0
temp_lbeta_1_0.500,25,20367,2349,67282,44353,111,45534,69631,362,1862,41192,45645,8,50,43951
temp_lbeta_1_0.667,25,24835,2891,62272,46718,167,43113,65163,364,2693,33439,43280,18,95,40710
temp_lbeta_1_0.800,25,28165,3030,58803,48482,223,41293,61833,450,3892,28401,41516,22,149,37926
temp_lbeta_1_1.000,25,32505,3254,54239,50860,293,38845,57493,376,6655,21112,39138,44,386,32868
temp_lbeta_1_1.250,25,38068,3175,48755,54153,327,35518,51930,436,9244,14234,35845,55,712,25783
temp_lbeta_1_1.500,25,42056,2919,45023,56618,414,32966,47942,480,11180,9482,33380,59,1185,18841
temp_lbeta_1_2.000,25,39321,1323,49354,54513,117,35368,50677,1200,25145,12565,35485,86,1096,24280
temp_ubeta_1_0.500,25,18885,1585,69528,43491,167,46340,71113,1,15,40020,46507,3,2,43219
temp_ubeta_1_0.667,25,25134,1608,63256,46808,221,42969,64864,12,7,26552,43190,1,0,37138
temp_ubeta_1_0.800,25,30017,1590,58391,49333,254,40411,59981,20,8,17725,40665,4,2,31173
temp_ubeta_1_1.000,25,38086,1575,50337,53754,293,35951,51912,30,18,7296,36244,6,11,20142
temp_ubeta_1_1.250,25,47179,1731,41088,59126,322,30550,42819,59,42,2193,30872,11,16,10529
temp_ubeta_1_1.500,25,54747,1103,34148,62868,220,26910,35251,126,37,1069,27130,40,8,7203
temp_ubeta_1_2.000,25,67533,708,21757,71458,109,18431,22465,128,79,188,18540,41,31,12221
