file,cells,both_empty,first_empty,second_empty
mn_fn_0.1_0.1.dat,10000,357,357,2581
mn_fn_0.1_0.2.dat,10000,361,361,2404
mn_fn_0.1_0.3.dat,10000,364,364,2441
mn_fn_0.1_0.4.dat,10000,386,386,2335
mn_fn_0.1_0.5.dat,10000,447,447,2288
mn_fn_0.1_0.6.dat,10000,409,409,2182
mn_fn_0.1_0.7.dat,10000,423,423,2120
mn_fn_0.1_0.8.dat,10000,422,422,2077
mn_fn_0.1_0.9.dat,10000,390,390,1999
mn_fn_0.1_1.0.dat,10000,429,429,1959
mn_fn_0.2_0.1.dat,10000,847,847,3711
mn_fn_0.2_0.2.dat,10000,803,803,3524
mn_fn_0.2_0.3.dat,10000,850,850,3402
mn_fn_0.2_0.4.dat,10000,846,846,3238
mn_fn_0.2_0.5.dat,10000,897,897,3197
mn_fn_0.2_0.6.dat,10000,883,883,3062
mn_fn_0.2_0.7.dat,10000,890,890,2933
mn_fn_0.2_0.8.dat,10000,882,882,2865
mn_fn_0.2_0.9.dat,10000,813,813,2660
mn_fn_0.2_1.0.dat,10000,918,918,2717
mn_fn_0.3_0.1.dat,10000,1491,1491,4765
mn_fn_0.3_0.2.dat,10000,1508,1508,4525
mn_fn_0.3_0.3.dat,10000,1474,1474,4459
mn_fn_0.3_0.4.dat,10000,1411,1411,4183
mn_fn_0.3_0.5.dat,10000,1445,1445,4033
mn_fn_0.3_0.6.dat,10000,1394,1394,3892
mn_fn_0.3_0.7.dat,10000,1391,1391,3755
mn_fn_0.3_0.8.dat,10000,1323,1323,3646
mn_fn_0.3_0.9.dat,10000,1317,1317,3377
mn_fn_0.3_1.0.dat,10000,1284,1284,3289
mn_fn_0.4_0.1.dat,10000,2571,2571,6044
mn_fn_0.4_0.2.dat,10000,2493,2493,5742
mn_fn_0.4_0.3.dat,10000,2348,2348,5477
mn_fn_0.4_0.4.dat,10000,2182,2182,5251
mn_fn_0.4_0.5.dat,10000,2081,2081,4900
mn_fn_0.4_0.6.dat,10000,1995,1995,4665
mn_fn_0.4_0.7.dat,10000,1976,1976,4526
mn_fn_0.4_0.8.dat,10000,1931,1931,4291
mn_fn_0.4_0.9.dat,10000,1824,1824,4213
mn_fn_0.4_1.0.dat,10000,1742,1742,3942
mn_fn_0.5_0.1.dat,10000,4057,4057,7363
mn_fn_0.5_0.2.dat,10000,3629,3629,6915
mn_fn_0.5_0.3.dat,10000,3361,3361,6486
mn_fn_0.5_0.4.dat,10000,3045,3045,6076
mn_fn_0.5_0.5.dat,10000,2811,2811,5671
mn_fn_0.5_0.6.dat,10000,2699,2699,5410
mn_fn_0.5_0.7.dat,10000,2553,2553,5251
mn_fn_0.5_0.8.dat,10000,2454,2454,5011
