file,cells,both_empty,first_empty,second_empty
my_fy_0.1_0.1.dat,10000,5205,5205,5208
my_fy_0.1_0.2.dat,10000,3375,3375,3375
my_fy_0.1_0.3.dat,10000,2419,2419,2446
my_fy_0.1_0.4.dat,10000,1903,1903,1907
my_fy_0.1_0.5.dat,10000,1694,1694,1695
my_fy_0.1_0.6.dat,10000,1461,1461,1465
my_fy_0.1_0.7.dat,10000,1254,1254,1258
my_fy_0.1_0.8.dat,10000,1101,1101,1103
my_fy_0.1_0.9.dat,10000,950,950,951
my_fy_0.1_1.0.dat,10000,875,875,875
my_fy_0.2_0.1.dat,10000,8586,8586,8692
my_fy_0.2_0.2.dat,10000,5231,5231,5235
my_fy_0.2_0.3.dat,10000,4163,4163,4163
my_fy_0.2_0.4.dat,10000,3396,3396,3397
my_fy_0.2_0.5.dat,10000,2938,2938,2941
my_fy_0.2_0.6.dat,10000,2535,2535,2546
my_fy_0.2_0.7.dat,10000,2268,2268,2270
my_fy_0.2_0.8.dat,10000,2061,2061,2061
my_fy_0.2_0.9.dat,10000,1799,1799,1817
my_fy_0.2_1.0.dat,10000,1651,1651,1652
my_fy_0.3_0.1.dat,10000,10000,10000,10000
my_fy_0.3_0.2.dat,10000,6802,6802,6819
my_fy_0.3_0.3.dat,10000,5225,5225,5229
my_fy_0.3_0.4.dat,10000,4482,4482,4488
my_fy_0.3_0.5.dat,10000,3806,3806,3837
my_fy_0.3_0.6.dat,10000,3347,3347,3363
my_fy_0.3_0.7.dat,10000,3015,3015,3021
my_fy_0.3_0.8.dat,10000,2748,2748,2785
my_fy_0.3_0.9.dat,10000,2481,2481,2483
my_fy_0.3_1.0.dat,10000,2302,2302,2310
my_fy_0.4_0.1.dat,10000,10000,10000,10000
my_fy_0.4_0.2.dat,10000,7341,7341,8038
my_fy_0.4_0.3.dat,10000,6376,6376,6386
my_fy_0.4_0.4.dat,10000,5325,5325,5339
my_fy_0.4_0.5.dat,10000,4598,4598,4601
my_fy_0.4_0.6.dat,10000,4124,4124,4124
my_fy_0.4_0.7.dat,10000,3667,3667,3712
my_fy_0.4_0.8.dat,10000,3382,3382,3389
my_fy_0.4_0.9.dat,10000,3087,3087,3148
my_fy_0.4_1.0.dat,10000,2896,2896,2907
my_fy_0.5_0.1.dat,10000,10000,10000,10000
my_fy_0.5_0.2.dat,10000,10000,10000,10000
my_fy_0.5_0.3.dat,10000,6683,6683,7554
my_fy_0.5_0.4.dat,10000,5535,5535,6566
my_fy_0.5_0.5.dat,10000,5234,5234,5633
my_fy_0.5_0.6.dat,10000,4278,4278,5545
my_fy_0.5_0.7.dat,10000,4143,4143,4995
my_fy_0.5_0.8.dat,10000,3688,3688,4708
my_fy_0.5_0.9.dat,10000,3633,3633,3966
my_fy_0.5_1.0.dat,10000,3271,3271,4032
my_fy_0.6_0.1.dat,10000,10000,10000,10000
my_fy_0.6_0.2.dat,10000,10000,10000,10000
my_fy_0.6_0.3.dat,10000,7128,7128,8275
my_fy_0.6_0.4.dat,10000,6008,6008,7387
my_fy_0.6_0.5.dat,10000,5421,5421,6806
my_fy_0.6_0.6.dat,10000,4734,4734,6196
my_fy_0.6_0.7.dat,10000,4472,4472,5946
my_fy_0.6_0.8.dat,10000,4099,4099,5776
my_fy_0.6_0.9.dat,10000,3769,3769,5381
my_fy_0.6_1.0.dat,10000,3522,3522,5242
my_fy_0.7_0.1.dat,10000,10000,10000,10000
my_fy_0.7_0.2.dat,10000,10000,10000,10000
my_fy_0.7_0.3.dat,10000,7271,7271,8723
my_fy_0.7_0.4.dat,10000,6295,6295,7929
my_fy_0.7_0.5.dat,10000,5681,5681,7402
my_fy_0.7_0.6.dat,10000,5221,5221,6939
my_fy_0.7_0.7.dat,10000,4745,4745,6551
my_fy_0.7_0.8.dat,10000,4481,4481,6370
my_fy_0.7_0.9.dat,10000,4066,4066,5969
my_fy_0.7_1.0.dat,10000,3796,3796,5781
my_fy_0.8_0.1.dat,10000,10000,10000,10000
my_fy_0.8_0.2.dat,10000,10000,10000,10000
my_fy_0.8_0.3.dat,10000,8088,8088,9484
my_fy_0.8_0.4.dat,10000,6789,6789,8660
my_fy_0.8_0.5.dat,10000,5997,5997,8073
my_fy_0.8_0.6.dat,10000,5527,5527,7614
my_fy_0.8_0.7.dat,10000,5028,5028,7171
my_fy_0.8_0.8.dat,10000,4637,4637,6848
my_fy_0.8_0.9.dat,10000,4375,4375,6569
my_fy_0.8_1.0.dat,10000,4053,4053,6253
my_fy_0.9_0.1.dat,10000,10000,10000,10000
my_fy_0.9_0.2.dat,10000,10000,10000,10000
my_fy_0.9_0.3.dat,10000,10000,10000,10000
my_fy_0.9_0.4.dat,10000,7619,7619,9512
my_fy_0.9_0.5.dat,10000,6715,6715,8968
my_fy_0.9_0.6.dat,10000,6031,6031,8508
my_fy_0.9_0.7.dat,10000,5565,5565,8109
my_fy_0.9_0.8.dat,10000,5208,5208,7686
my_fy_0.9_0.9.dat,10000,4819,4819,7350
my_fy_0.9_1.0.dat,10000,4499,4499,7121
my_fy_1.0_0.1.dat,10000,10000,10000,10000
my_fy_1.0_0.2.dat,10000,10000,10000,10000
my_fy_1.0_0.3.dat,10000,10000,10000,10000
my_fy_1.0_0.4.dat,10000,10000,10000,10000
my_fy_1.0_0.5.dat,10000,8763,8763,10000
my_fy_1.0_0.6.dat,10000,7321,7321,10000
my_fy_1.0_0.7.dat,10000,6628,6628,10000
my_fy_1.0_0.8.dat,10000,6018,6018,10000
my_fy_1.0_0.9.dat,10000,5615,5615,10000
my_fy_1.0_1.0.dat,10000,5407,5407,10000
