file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
mt_10.dat,7308,7308,7308,7308,7281,6689,4430,3220,3181,3050
mt_2.dat,5925,5925,5925,5925,5925,5922,5171,3037,2931,2612
mt_3.dat,6962,6962,6962,6962,6962,6795,4413,3186,3138,2936
mt_4.dat,6892,6892,6892,6892,6892,6661,4552,3155,3090,2898
mt_5.dat,7209,7209,7209,7209,7132,6324,4150,3140,3130,2959
mt_6.dat,7121,7121,7121,7121,7108,6732,4833,3151,3080,2950
mt_7.dat,6957,6957,6957,6957,6957,6752,4815,3164,3141,3003
mt_8.dat,7094,7094,7094,7094,7093,6726,4628,3106,3089,2938
mt_9.dat,7160,7160,7160,7160,7160,6900,4893,3303,3257,3098
vgr_0.1.dat,7199,7199,7199,7199,7199,6865,5186,3168,3118,3001
vgr_0.2.dat,10007,10007,10007,9975,9104,6834,4695,4585,4585,4567
vgr_0.3.dat,11688,11688,11687,11270,8425,5473,5112,5112,5112,5112
vgr_0.4.dat,12582,12534,11402,8975,5996,5160,5156,5156,5156,5153
vgr_0.5.dat,13183,12811,10550,8056,6033,4565,4518,4518,4517,4516
vgr_0.6.dat,13849,12724,10201,7304,5352,4162,3605,3543,3536,3522
vgr_0.7.dat,14362,12419,8964,7307,6602,4730,2711,2014,1933,1869
vgr_0.8.dat,14830,12508,8556,6978,6311,4260,2727,1795,1435,1329
vgr_0.9.dat,15244,12280,8455,6511,5500,4427,2464,1170,1060,864
vgr_1.0.dat,15650,11980,8269,6584,5480,4320,2515,1007,558,360
spores_10.dat,14679,14679,14679,14679,14679,14679,14679,13903,7754,7227
spores_1.dat,7265,7265,7265,7265,7265,7108,5309,3111,3047,2938
spores_2.dat,9040,9040,9040,9040,9040,9040,8418,5322,4666,4661
spores_3.dat,10345,10345,10345,10345,10345,10345,10042,6875,5595,5593
spores_4.dat,11859,11859,11859,11859,11859,11859,11857,9868,5811,5671
spores_5.dat,12406,12406,12406,12406,12406,12406,12406,11109,6290,5930
spores_6.dat,12930,12930,12930,12930,12930,12930,12930,12208,6813,6294
spores_7.dat,13601,13601,13601,13601,13601,13601,13601,12844,7280,6596
spores_8.dat,14046,14046,14046,14046,14046,14046,14046,13410,7510,6849
spores_9.dat,14427,14427,14427,14427,14427,14427,14427,13304,7654,7157
dominance_0.1.dat,6419,6419,6419,6419,6391,6051,4895,3051,2194,287
dominance_0.2.dat,6616,6616,6616,6616,6527,6155,5019,2872,2341,938
dominance_0.3.dat,7052,7052,7052,7052,7037,6397,4869,2715,2573,2005
dominance_0.4.dat,7076,7076,7076,7076,7054,6597,5092,2699,2642,2457
dominance_0.5.dat,7288,7288,7288,7288,7281,6679,4762,3176,3139,3025
dominance_0.6.dat,7310,7310,7310,7310,7310,7228,5753,3494,3339,3311
dominance_0.7.dat,7595,7595,7595,7595,7591,7178,5657,3968,3860,3786
dominance_0.8.dat,7873,7873,7873,7873,7873,7713,5758,4263,4192,4141
dominance_0.9.dat,7844,7844,7844,7844,7844,7842,6843,4442,4229,4209
dominance_1.0.dat,7923,7923,7923,7923,7923,7922,7213,4681,4252,4240
