file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
mt_10.dat,2984,2984,2984,2984,2984,2897,2480,2107,2101,2052
mt_2.dat,2350,2350,2350,2350,2350,2350,2237,2044,2028,1890
mt_3.dat,2851,2851,2851,2850,2831,2810,2439,2144,2140,2045
mt_4.dat,2902,2902,2902,2902,2900,2828,2412,2253,2251,2179
mt_5.dat,2909,2909,2909,2909,2909,2875,2553,2097,2092,2033
mt_6.dat,2849,2849,2849,2849,2849,2813,2406,2031,2026,1977
mt_7.dat,2862,2862,2862,2862,2862,2804,2359,2070,2066,2031
mt_8.dat,2943,2943,2943,2943,2943,2907,2526,2122,2111,2066
mt_9.dat,3023,3023,3023,3023,3019,2921,2550,2085,2075,2029
vgr_0.1.dat,2994,2994,2994,2994,2994,2958,2637,2091,2079,2051
vgr_0.2.dat,4268,4268,4268,4268,4228,3938,3431,3375,3375,3369
vgr_0.3.dat,5256,5256,5256,5218,4950,4366,4303,4303,4303,4300
vgr_0.4.dat,5820,5820,5795,5614,5033,4681,4663,4663,4663,4663
vgr_0.5.dat,6221,6214,6074,5624,4594,4019,4007,3997,3997,3997
vgr_0.6.dat,6558,6491,6215,5467,4450,2813,2505,2476,2473,2471
vgr_0.7.dat,6857,6726,6383,5866,4925,3795,2199,1612,1516,1448
vgr_0.8.dat,7053,6768,5727,5042,4463,3414,1934,1589,1541,1426
vgr_0.9.dat,7366,6976,6210,5562,4803,3804,2465,1102,926,729
vgr_1.0.dat,7486,7022,5933,5481,4706,3583,2189,1218,686,433
spores_10.dat,5596,5596,5596,5596,5596,5596,5596,5576,5365,5324
spores_1.dat,3003,3003,3003,3003,2998,2916,2551,2062,2050,2006
spores_2.dat,3599,3599,3599,3599,3599,3598,3525,3130,2925,2922
spores_3.dat,4070,4070,4070,4070,4070,4070,4067,3807,3496,3490
spores_4.dat,4560,4560,4560,4560,4560,4560,4555,4369,4050,4043
spores_5.dat,4880,4880,4880,4880,4880,4880,4880,4850,4505,4464
spores_6.dat,5059,5059,5059,5059,5059,5059,5059,5036,4743,4699
spores_7.dat,5178,5178,5178,5178,5178,5178,5178,5158,4901,4857
spores_8.dat,5467,5467,5467,5467,5467,5467,5467,5438,5209,5191
spores_9.dat,5556,5556,5556,5556,5556,5556,5556,5545,5328,5291
dominance_0.1.dat,2596,2596,2596,2596,2596,2548,2299,1817,1513,293
dominance_0.2.dat,2827,2827,2827,2826,2801,2731,2464,1836,1581,712
dominance_0.3.dat,2779,2779,2779,2779,2778,2717,2422,1733,1632,1316
dominance_0.4.dat,2945,2945,2945,2945,2945,2881,2477,1865,1861,1770
dominance_0.5.dat,2973,2973,2973,2973,2973,2895,2579,2097,2081,2038
dominance_0.6.dat,2946,2946,2946,2946,2946,2924,2677,2176,2142,2101
dominance_0.7.dat,3088,3088,3088,3088,3088,3080,2852,2396,2371,2365
dominance_0.8.dat,3028,3028,3028,3028,3028,3026,2893,2394,2297,2284
dominance_0.9.dat,3163,3163,3163,3163,3163,3162,3030,2497,2429,2424
dominance_1.0.dat,3273,3273,3273,3273,3273,3273,3197,2771,2674,2673
