file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
link_0.00.dat,1690,1690,1690,1690,1690,1690,1690,1690,1689,25
link_0.05.dat,1717,1717,1717,1717,1717,1717,1717,1717,1717,32
link_0.10.dat,1626,1626,1626,1626,1626,1626,1626,1626,1624,6
link_0.15.dat,1699,1699,1699,1699,1699,1699,1699,1699,1699,66
link_0.20.dat,1559,1559,1559,1559,1559,1559,1559,1559,1559,70
link_0.25.dat,1691,1691,1691,1691,1691,1691,1691,1691,1690,57
link_0.30.dat,1681,1681,1681,1681,1681,1681,1681,1681,1681,209
link_0.35.dat,1541,1541,1541,1541,1541,1541,1541,1541,1541,196
link_0.40.dat,1577,1577,1577,1577,1577,1577,1577,1577,1577,294
link_0.45.dat,1555,1555,1555,1555,1555,1555,1555,1555,1555,210
link_0.50.dat,1412,1412,1412,1412,1412,1412,1412,1412,1412,453
link_0.55.dat,1413,1413,1413,1413,1413,1413,1413,1413,1413,364
link_0.60.dat,1391,1391,1391,1391,1391,1391,1391,1391,1391,476
link_0.65.dat,1378,1378,1378,1378,1378,1378,1378,1378,1378,531
link_0.70.dat,1300,1300,1300,1300,1300,1300,1300,1300,1300,492
link_0.75.dat,1287,1287,1287,1287,1287,1287,1287,1287,1287,588
link_0.80.dat,1381,1381,1381,1381,1381,1381,1381,1381,1370,525
link_0.85.dat,1886,1886,1886,1886,1886,1886,1886,1885,1662,545
link_0.90.dat,2323,2323,2323,2323,2323,2323,2315,2141,1692,1022
link_0.92.dat,2599,2599,2599,2599,2599,2599,2548,2135,1788,1417
link_0.95.dat,3011,3011,3011,3011,3011,2948,2618,2100,2082,2047
link_0.97.dat,3449,3449,3449,3431,3257,2959,2605,2585,2585,2577
link_0.99.dat,3926,3843,3642,3461,3332,3329,3329,3329,3329,3329
link_1.00.dat,4114,3816,3598,3527,3525,3525,3525,3525,3525,3525
