file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
link_0.00.dat,4023,4023,4023,4023,4023,4023,4023,4023,4021,26
link_0.05.dat,4019,4019,4019,4019,4019,4019,4019,4019,4019,65
link_0.10.dat,3930,3930,3930,3930,3930,3930,3930,3930,3929,66
link_0.15.dat,3999,3999,3999,3999,3999,3999,3999,3999,3996,39
link_0.20.dat,4136,4136,4136,4136,4136,4136,4136,4136,4135,119
link_0.25.dat,3989,3989,3989,3989,3989,3989,3989,3989,3989,216
link_0.30.dat,4023,4023,4023,4023,4023,4023,4023,4023,4023,160
link_0.35.dat,3910,3910,3910,3910,3910,3910,3910,3910,3910,294
link_0.40.dat,3660,3660,3660,3660,3660,3660,3660,3660,3660,411
link_0.45.dat,3744,3744,3744,3744,3744,3744,3744,3744,3744,594
link_0.50.dat,3626,3626,3626,3626,3626,3626,3626,3626,3626,798
link_0.55.dat,3797,3797,3797,3797,3797,3797,3797,3797,3797,614
link_0.60.dat,3425,3425,3425,3425,3425,3425,3425,3425,3424,1036
link_0.65.dat,3720,3720,3720,3720,3720,3720,3720,3720,3720,982
link_0.70.dat,3426,3426,3426,3426,3426,3426,3426,3426,3424,1247
link_0.75.dat,3386,3386,3386,3386,3386,3386,3386,3386,3376,1145
link_0.80.dat,3920,3920,3920,3920,3920,3920,3920,3920,3771,989
link_0.85.dat,4650,4650,4650,4650,4650,4650,4650,4640,3771,963
link_0.90.dat,5514,5514,5514,5514,5514,5514,5514,4808,2941,1569
link_0.92.dat,6247,6247,6247,6247,6247,6247,6179,4368,2876,2149
link_0.95.dat,7291,7291,7291,7291,7286,6783,4966,3140,3055,2935
link_0.97.dat,8021,8021,8021,7876,6992,5355,3816,3775,3775,3751
link_0.99.dat,9688,9141,7326,5734,4981,4970,4970,4970,4970,4969
link_1.00.dat,10157,7388,5750,5484,5484,5484,5484,5484,5484,5484
