trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_link_0_0.10,0,30000,6042,53956,89998,0,0,59998,2481,2553,2438,0,0,0,0
temp_link_0_0.30,0,30000,17970,42028,89998,0,0,59998,2530,2516,2427,0,0,0,0
temp_link_0_0.50,0,30000,30091,29907,89998,0,0,59998,2550,2497,2462,0,0,0,0
temp_link_0_0.70,0,30000,41917,18081,89998,0,0,59998,2490,2599,2481,0,0,0,0
temp_link_0_0.90,0,30000,54022,5976,89998,0,0,59998,2459,2553,2507,0,0,0,0
temp_link_1_0.10,0,30000,5990,54008,89998,0,0,59998,2514,2500,2552,0,0,0,0
temp_link_1_0.30,0,30000,18128,41870,89998,0,0,59998,2522,2538,2546,0,0,0,0
temp_link_1_0.50,0,29999,30315,29684,89998,0,0,59999,2594,2515,2507,0,0,0,0
temp_link_1_0.70,0,30000,41963,18035,89998,0,0,59998,2426,2401,2544,0,0,0,0
temp_link_1_0.90,0,29999,54106,5893,89998,0,0,59999,2548,2494,2519,0,0,0,0
temp_link_2_0.10,0,29998,5902,54098,89998,0,0,60000,2487,2513,2607,0,0,0,0
temp_link_2_0.30,0,30000,18033,41965,89998,0,0,59998,2529,2444,2523,0,0,0,0
temp_link_2_0.50,0,29999,30177,29822,89998,0,0,59999,2481,2507,2562,0,0,0,0
temp_link_2_0.70,0,29999,41778,18221,89998,0,0,59999,2487,2479,2556,0,0,0,0
temp_link_2_0.90,0,30000,54040,5958,89998,0,0,59998,2602,2526,2503,0,0,0,0
temp_link_3_0.10,0,29999,5908,54091,89998,0,0,59999,2568,2498,2528,0,0,0,0
temp_link_3_0.30,0,29999,18183,41816,89998,0,0,59999,2461,2480,2624,0,0,0,0
temp_link_3_0.50,0,29998,30014,29986,89998,0,0,60000,2542,2432,2524,0,0,0,0
temp_link_3_0.70,0,29999,41976,18023,89998,0,0,59999,2457,2456,2544,0,0,0,0
temp_link_3_0.90,0,29999,54142,5857,89998,0,0,59999,2598,2578,2452,0,0,0,0
temp_unlink_0_0.10,0,29999,5986,54013,89998,0,0,59999,2539,2556,2522,0,0,0,0
temp_unlink_0_0.30,0,29998,17978,42022,89998,0,0,60000,2548,2441,2484,0,0,0,0
temp_unlink_0_0.50,0,29999,30072,29927,89998,0,0,59999,2409,2523,2503,0,0,0,0
temp_unlink_0_0.70,0,29999,41976,18023,89998,0,0,59999,2408,2531,2533,0,0,0,0
temp_unlink_0_0.90,0,30000,54090,5908,89998,0,0,59998,2418,2437,2623,0,0,0,0
temp_unlink_1_0.10,0,29999,5945,54054,89998,0,0,59999,2505,2520,2518,0,0,0,0
temp_unlink_1_0.30,0,29998,18091,41909,89998,0,0,60000,2507,2451,2596,0,0,0,0
temp_unlink_1_0.50,0,30000,29995,30003,89998,0,0,59997,2480,2462,2468,0,0,0,0
temp_unlink_1_0.70,0,29999,41986,18013,89998,0,0,59999,2536,2538,2538,0,0,0,0
temp_unlink_1_0.90,0,29999,53979,6020,89998,0,0,59999,2509,2518,2458,0,0,0,0
temp_unlink_2_0.10,0,30000,5924,54074,89998,0,0,59998,2551,2549,2533,0,0,0,0
temp_unlink_2_0.30,0,30000,18137,41861,89998,0,0,59998,2434,2474,2445,0,0,0,0
temp_unlink_2_0.50,0,30000,30050,29948,89998,0,0,59998,2444,2525,2579,0,0,0,0
temp_unlink_2_0.70,0,29999,42041,17958,89998,0,0,59999,2544,2572,2516,0,0,0,0
temp_unlink_2_0.90,0,30000,53948,6050,89998,0,0,59998,2483,2533,2512,0,0,0,0
temp_unlink_3_0.10,0,30000,5977,54021,89998,0,0,59998,2481,2565,2452,0,0,0,0
