file,cells,both_empty,first_empty,second_empty
my_fn_0.1_0.1.dat,10000,762,762,1972
my_fn_0.1_0.2.dat,10000,943,943,1926
my_fn_0.1_0.3.dat,10000,987,987,1797
my_fn_0.1_0.4.dat,10000,1059,1059,1660
my_fn_0.1_0.5.dat,10000,1057,1057,1485
my_fn_0.1_0.6.dat,10000,987,987,1349
my_fn_0.1_0.7.dat,10000,890,890,1206
my_fn_0.1_0.8.dat,10000,843,843,1113
my_fn_0.1_0.9.dat,10000,761,761,1017
my_fn_0.1_1.0.dat,10000,739,739,971
my_fn_0.2_0.1.dat,10000,1897,1897,3853
my_fn_0.2_0.2.dat,10000,1839,1839,3491
my_fn_0.2_0.3.dat,10000,1950,1950,3257
my_fn_0.2_0.4.dat,10000,1769,1769,2942
my_fn_0.2_0.5.dat,10000,1874,1874,2778
my_fn_0.2_0.6.dat,10000,1845,1845,2520
my_fn_0.2_0.7.dat,10000,1723,1723,2259
my_fn_0.2_0.8.dat,10000,1544,1544,2049
my_fn_0.2_0.9.dat,10000,1459,1459,1915
my_fn_0.2_1.0.dat,10000,1360,1360,1771
my_fn_0.3_0.1.dat,10000,3810,3810,5835
my_fn_0.3_0.2.dat,10000,3256,3256,5151
my_fn_0.3_0.3.dat,10000,2838,2838,4505
my_fn_0.3_0.4.dat,10000,2662,2662,4113
my_fn_0.3_0.5.dat,10000,2520,2520,3712
my_fn_0.3_0.6.dat,10000,2537,2537,3498
my_fn_0.3_0.7.dat,10000,2311,2311,3111
my_fn_0.3_0.8.dat,10000,2194,2194,2883
my_fn_0.3_0.9.dat,10000,2034,2034,2696
my_fn_0.3_1.0.dat,10000,1910,1910,2429
my_fn_0.4_0.1.dat,10000,4841,4841,7047
my_fn_0.4_0.2.dat,10000,4195,4195,6255
my_fn_0.4_0.3.dat,10000,3850,3850,5703
my_fn_0.4_0.4.dat,10000,3410,3410,5130
my_fn_0.4_0.5.dat,10000,3089,3089,4632
my_fn_0.4_0.6.dat,10000,3000,3000,4247
my_fn_0.4_0.7.dat,10000,2892,2892,3967
my_fn_0.4_0.8.dat,10000,2748,2748,3653
my_fn_0.4_0.9.dat,10000,2578,2578,3264
my_fn_0.4_1.0.dat,10000,2456,2456,3152
my_fn_0.5_0.1.dat,10000,5893,5893,8139
my_fn_0.5_0.2.dat,10000,5019,5019,7239
my_fn_0.5_0.3.dat,10000,4551,4551,6727
my_fn_0.5_0.4.dat,10000,4042,4042,6029
my_fn_0.5_0.5.dat,10000,3765,3765,5539
my_fn_0.5_0.6.dat,10000,3494,3494,5177
my_fn_0.5_0.7.dat,10000,3278,3278,4787
my_fn_0.5_0.8.dat,10000,3136,3136,4379
my_fn_0.5_0.9.dat,10000,3086,3086,4057
my_fn_0.5_1.0.dat,10000,2891,2891,3754
my_fn_0.6_0.1.dat,10000,10000,10000,10000
my_fn_0.6_0.2.dat,10000,5732,5732,8090
my_fn_0.6_0.3.dat,10000,5104,5104,7382
my_fn_0.6_0.4.dat,10000,4524,4524,6765
my_fn_0.6_0.5.dat,10000,4194,4194,6385
my_fn_0.6_0.6.dat,10000,3949,3949,5819
my_fn_0.6_0.7.dat,10000,3777,3777,5550
my_fn_0.6_0.8.dat,10000,3551,3551,5156
my_fn_0.6_0.9.dat,10000,3445,3445,4840
my_fn_0.6_1.0.dat,10000,3196,3196,4263
my_fn_0.7_0.1.dat,10000,10000,10000,10000
my_fn_0.7_0.2.dat,10000,7100,7100,9075
my_fn_0.7_0.3.dat,10000,5947,5947,8229
my_fn_0.7_0.4.dat,10000,5252,5252,7710
my_fn_0.7_0.5.dat,10000,4851,4851,7175
my_fn_0.7_0.6.dat,10000,4423,4423,6664
my_fn_0.7_0.7.dat,10000,4313,4313,6415
my_fn_0.7_0.8.dat,10000,4003,4003,5980
my_fn_0.7_0.9.dat,10000,3857,3857,5627
my_fn_0.7_1.0.dat,10000,3604,3604,5220
my_fn_0.8_0.1.dat,10000,10000,10000,10000
my_fn_0.8_0.2.dat,10000,10000,10000,10000
my_fn_0.8_0.3.dat,10000,6988,6988,9130
my_fn_0.8_0.4.dat,10000,6051,6051,8510
my_fn_0.8_0.5.dat,10000,5594,5594,8072
my_fn_0.8_0.6.dat,10000,5070,5070,7634
my_fn_0.8_0.7.dat,10000,4741,4741,7159
my_fn_0.8_0.8.dat,10000,4444,4444,6830
my_fn_0.8_0.9.dat,10000,4267,4267,6372
my_fn_0.8_1.0.dat,10000,4026,4026,5943
my_fn_0.9_0.1.dat,10000,10000,10000,10000
my_fn_0.9_0.2.dat,10000,10000,10000,10000
my_fn_0.9_0.3.dat,10000,10000,10000,10000
my_fn_0.9_0.4.dat,10000,7658,7658,9578
my_fn_0.9_0.5.dat,10000,6554,6554,9080
my_fn_0.9_0.6.dat,10000,5896,5896,8573
my_fn_0.9_0.7.dat,10000,5483,5483,8160
my_fn_0.9_0.8.dat,10000,5075,5075,7825
my_fn_0.9_0.9.dat,10000,4732,4732,7255
my_fn_0.9_1.0.dat,10000,4503,4503,6897
my_fn_1.0_0.1.dat,10000,10000,10000,10000
my_fn_1.0_0.2.dat,10000,10000,10000,10000
my_fn_1.0_0.3.dat,10000,10000,10000,10000
my_fn_1.0_0.4.dat,10000,10000,10000,10000
my_fn_1.0_0.5.dat,10000,8900,8900,10000
my_fn_1.0_0.6.dat,10000,7472,7472,10000
my_fn_1.0_0.7.dat,10000,6515,6515,10000
my_fn_1.0_0.8.dat,10000,6079,6079,10000
my_fn_1.0_0.9.dat,10000,5624,5624,10000
my_fn_1.0_1.0.dat,10000,5229,5229,10000
