 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.899999976    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 beta =      0.666700006    
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.333 0.334   NaN   NaN   NaN
     5 66318 17398  3116 15010    50  0.299 0.333 0.368 0.222 0.231 0.547
    10 65775 17522  3237 13959    50  0.258 0.308 0.433 0.175 0.191 0.634
    15 63776 16845  3181 13267    50  0.221 0.281 0.498 0.138 0.158 0.704
    20 61458 16578  3475 12620    50  0.190 0.253 0.557 0.108 0.134 0.758
    25 59163 16063  3474 11912    50  0.164 0.230 0.606 0.090 0.115 0.795
    30 57453 15400  3758 11285    50  0.144 0.208 0.648 0.075 0.102 0.824
    35 55333 14945  3834 10697    50  0.128 0.193 0.679 0.065 0.090 0.846
    40 53721 14367  4021 10314    50  0.117 0.180 0.702 0.057 0.081 0.862
    45 52027 14121  3930  9701    50  0.109 0.172 0.719 0.051 0.073 0.876
    50 50756 13709  4199  9354    50  0.103 0.165 0.732 0.047 0.069 0.883
    55 50062 13543  4080  9151    50  0.098 0.161 0.740 0.044 0.066 0.889
    60 49040 13359  4193  8990    50  0.096 0.161 0.742 0.041 0.063 0.895
    65 48620 13240  4159  8769    50  0.094 0.162 0.744 0.039 0.061 0.900
    70 48587 13077  4278  8860    50  0.092 0.162 0.745 0.038 0.060 0.902
    75 48376 13021  4362  8963    50  0.092 0.164 0.744 0.037 0.059 0.904
    80 48940 13161  4195  8935    50  0.093 0.168 0.739 0.036 0.058 0.906
    85 48537 13068  4234  8790    50  0.092 0.170 0.738 0.035 0.057 0.908
    90 48390 12964  4293  8889    50  0.092 0.172 0.736 0.035 0.058 0.907
    95 48342 13131  4150  8966    50  0.092 0.175 0.733 0.034 0.058 0.908
   100 48690 13064  4289  8909    50  0.092 0.177 0.731 0.033 0.059 0.908
   105 48522 13162  4348  8686    50  0.090 0.176 0.734 0.033 0.057 0.911
   110 48425 13373  4232  8945    50  0.089 0.175 0.736 0.031 0.056 0.913
   115 48329 13085  4366  8866    50  0.088 0.174 0.738 0.030 0.055 0.914
   120 47908 13073  4273  8648    50  0.087 0.175 0.738 0.031 0.056 0.914
   125 47964 13084  4320  8681    50  0.086 0.174 0.740 0.031 0.057 0.912
   130 47776 13112  4259  8736    50  0.085 0.174 0.740 0.029 0.055 0.916
   135 47486 12900  4283  8558    50  0.084 0.171 0.745 0.029 0.054 0.917
   140 47547 12973  4261  8557    50  0.082 0.171 0.746 0.028 0.054 0.918
   145 47958 12973  4348  8613    50  0.080 0.170 0.750 0.028 0.053 0.919
   150 47632 12838  4348  8597    50  0.079 0.168 0.754 0.028 0.053 0.919
   155 47052 12698  4368  8504    50  0.077 0.166 0.756 0.027 0.052 0.921
   160 47043 12824  4412  8343    50  0.075 0.163 0.762 0.026 0.051 0.923
   165 46744 12566  4352  8318    50  0.074 0.161 0.765 0.026 0.051 0.923
   170 46410 12619  4418  8267    50  0.073 0.158 0.769 0.025 0.051 0.924
   175 46260 12520  4418  8174    50  0.072 0.157 0.771 0.025 0.050 0.925
   180 46098 12421  4589  8188    50  0.070 0.155 0.775 0.025 0.050 0.925
   185 45761 12254  4412  8049    50  0.069 0.153 0.778 0.025 0.051 0.924
   190 45558 12410  4430  7917    50  0.068 0.151 0.781 0.025 0.051 0.924
   195 45876 12367  4369  8240    50  0.067 0.150 0.783 0.025 0.051 0.924
   200 45698 12371  4364  8029    50  0.065 0.146 0.788 0.025 0.050 0.925
   205 45611 12338  4491  7888    50  0.065 0.146 0.789 0.025 0.050 0.925
   210 45140 12328  4389  7742    50  0.064 0.143 0.794 0.024 0.049 0.927
   215 44578 11855  4411  7607    50  0.063 0.141 0.796 0.024 0.047 0.929
   220 44714 12057  4287  7619    50  0.062 0.139 0.799 0.023 0.047 0.930
   225 44270 11822  4385  7445    50  0.060 0.136 0.803 0.023 0.047 0.930
   230 43916 12037  4431  7448    50  0.060 0.135 0.805 0.023 0.047 0.930
   235 43519 11957  4393  7495    50  0.059 0.133 0.808 0.023 0.047 0.930
   240 43350 11934  4389  7273    50  0.058 0.133 0.809 0.023 0.047 0.931
   245 43535 11853  4500  7307    50  0.057 0.130 0.813 0.023 0.047 0.930
   250 43607 11901  4377  7446    50  0.057 0.130 0.813 0.022 0.046 0.932
   255 43151 11840  4382  7271    50  0.056 0.128 0.817 0.022 0.046 0.932
   260 43098 11860  4454  7231    50  0.055 0.127 0.818 0.022 0.046 0.932
   265 43406 11608  4587  7318    50  0.054 0.125 0.821 0.022 0.045 0.933
   270 43033 11706  4487  7101    50  0.053 0.123 0.824 0.021 0.044 0.935
   275 42409 11756  4578  7059    50  0.052 0.121 0.827 0.021 0.043 0.936
   280 42327 11473  4448  6871    50  0.052 0.119 0.829 0.021 0.043 0.935
   285 41680 11572  4410  6980    50  0.051 0.118 0.831 0.021 0.042 0.937
   290 41777 11385  4439  6887    50  0.050 0.116 0.834 0.021 0.044 0.935
   295 41585 11519  4543  6834    50  0.050 0.115 0.835 0.021 0.043 0.935
   300 41641 11259  4566  6813    50  0.050 0.113 0.837 0.021 0.042 0.937
   305 41486 11382  4633  6753    50  0.049 0.111 0.839 0.021 0.042 0.937
   310 41421 11363  4582  6792    50  0.049 0.109 0.842 0.021 0.042 0.937
   315 41007 11318  4574  6553    50  0.049 0.108 0.843 0.021 0.041 0.938
   320 40944 11242  4436  6750    50  0.048 0.107 0.846 0.021 0.041 0.938
   325 40428 11166  4613  6581    50  0.048 0.106 0.846 0.021 0.041 0.939
   330 40555 11073  4583  6429    50  0.047 0.104 0.848 0.021 0.041 0.938
   335 40354 11012  4624  6465    50  0.047 0.104 0.849 0.021 0.041 0.939
   340 40255 11114  4507  6347    50  0.046 0.102 0.852 0.021 0.041 0.939
   345 40201 10985  4699  6503    50  0.046 0.101 0.853 0.021 0.040 0.939
   350 39548 11163  4601  6245    50  0.045 0.099 0.856 0.020 0.040 0.940
   355 39718 10866  4704  6325    50  0.045 0.099 0.856 0.021 0.040 0.939
   360 39389 10830  4620  6225    50  0.045 0.097 0.858 0.020 0.039 0.940
   365 39435 11034  4612  6233    50  0.044 0.097 0.859 0.021 0.039 0.940
   370 38998 10792  4734  6132    50  0.044 0.095 0.861 0.020 0.039 0.941
   375 38910 10708  4733  6105    48  0.044 0.094 0.863 0.020 0.039 0.941
   380 38799 10524  4656  6048    48  0.043 0.093 0.864 0.020 0.038 0.941
   385 39003 10804  4605  6099    48  0.043 0.093 0.865 0.020 0.038 0.942
   390 38795 10915  4560  6047    48  0.043 0.091 0.866 0.020 0.038 0.941
   395 38678 10648  4617  5898    48  0.043 0.090 0.868 0.020 0.037 0.943
   400 38206 10735  4670  5854    48  0.042 0.088 0.870 0.020 0.037 0.943
   405 38148 10506  4591  5903    48  0.042 0.087 0.871 0.020 0.037 0.943
   410 38254 10477  4599  5804    48  0.041 0.086 0.873 0.020 0.037 0.943
   415 38124 10502  4713  5852    48  0.041 0.086 0.873 0.020 0.037 0.943
   420 37667 10367  4635  5782    48  0.041 0.084 0.875 0.020 0.037 0.943
   425 37746 10570  4617  5695    48  0.041 0.084 0.876 0.020 0.036 0.944
   430 37515 10546  4651  5678    48  0.041 0.083 0.876 0.020 0.036 0.944
   435 37207 10478  4616  5735    47  0.040 0.082 0.877 0.020 0.037 0.943
   440 37106 10202  4506  5580    47  0.040 0.082 0.878 0.020 0.036 0.944
   445 37264 10150  4670  5677    47  0.040 0.081 0.879 0.020 0.036 0.944
   450 36737 10184  4536  5539    47  0.040 0.080 0.880 0.020 0.035 0.945
   455 36767 10313  4609  5441    47  0.039 0.079 0.881 0.020 0.035 0.945
   460 36846 10230  4700  5516    47  0.039 0.078 0.882 0.020 0.034 0.946
   465 36643  9937  4668  5534    47  0.039 0.078 0.882 0.020 0.035 0.945
   470 36607 10065  4610  5419    47  0.039 0.078 0.883 0.020 0.035 0.945
   475 36517 10235  4581  5414    47  0.039 0.077 0.884 0.020 0.035 0.945
   480 36578 10107  4744  5521    47  0.039 0.077 0.885 0.020 0.035 0.946
   485 36491 10103  4661  5331    47  0.039 0.076 0.885 0.020 0.035 0.945
   490 36381 10167  4640  5448    47  0.038 0.077 0.885 0.020 0.035 0.945
   495 36343 10085  4634  5387    47  0.039 0.076 0.885 0.020 0.035 0.944
   500 36367  9966  4674  5278    47  0.039 0.076 0.886 0.020 0.034 0.946
   505 35928  9985  4589  5274    47  0.039 0.075 0.886 0.020 0.034 0.946
   510 36092  9850  4698  5350    47  0.038 0.074 0.887 0.020 0.035 0.945
   515 36215 10028  4739  5431    47  0.038 0.074 0.888 0.020 0.035 0.945
   520 36092 10123  4592  5387    47  0.038 0.073 0.889 0.020 0.035 0.945
   525 35794  9920  4645  5305    47  0.038 0.072 0.889 0.020 0.035 0.945
   530 35543  9870  4634  5319    47  0.038 0.072 0.890 0.020 0.034 0.945
