 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.899999976    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 beta =       1.20000005    
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.333 0.334   NaN   NaN   NaN
     5 45985 12640  4319  7513    50  0.319 0.349 0.332 0.249 0.250 0.501
    10 43394 11945  4544  7078    50  0.291 0.349 0.360 0.228 0.241 0.531
    15 42344 11538  4457  6935    50  0.268 0.347 0.386 0.210 0.235 0.555
    20 42103 11503  4553  6913    50  0.249 0.345 0.406 0.193 0.231 0.576
    25 41051 11359  4476  6650    50  0.233 0.342 0.424 0.180 0.225 0.596
    30 40572 10929  4569  6511    50  0.220 0.340 0.441 0.167 0.218 0.615
    35 40227 11175  4641  6343    50  0.209 0.336 0.455 0.157 0.213 0.629
    40 39929 10809  4582  6238    50  0.201 0.332 0.467 0.149 0.210 0.642
    45 39266 10818  4606  6152    50  0.192 0.333 0.476 0.140 0.205 0.655
    50 38550 10667  4541  6065    50  0.183 0.332 0.486 0.133 0.202 0.665
    55 38495 10668  4651  5928    50  0.176 0.329 0.495 0.127 0.198 0.675
    60 38224 10436  4677  5924    50  0.172 0.329 0.498 0.121 0.198 0.681
    65 38127 10800  4577  5851    50  0.167 0.330 0.503 0.117 0.198 0.685
    70 38335 10471  4554  5887    50  0.162 0.328 0.510 0.113 0.197 0.689
    75 38097 10551  4670  5916    50  0.158 0.328 0.514 0.112 0.195 0.693
    80 37869 10442  4555  5898    50  0.155 0.327 0.518 0.108 0.193 0.699
    85 37900 10423  4629  5840    50  0.152 0.328 0.521 0.105 0.192 0.703
    90 38006 10654  4682  5831    50  0.149 0.327 0.525 0.103 0.191 0.706
    95 37987 10523  4508  5791    50  0.146 0.325 0.529 0.101 0.190 0.709
   100 37537 10421  4644  5693    50  0.144 0.325 0.531 0.099 0.188 0.713
   105 37375 10388  4598  5724    50  0.142 0.326 0.532 0.097 0.187 0.716
   110 37380 10400  4604  5759    50  0.140 0.325 0.536 0.096 0.189 0.715
   115 37664 10223  4617  5857    50  0.137 0.325 0.538 0.093 0.190 0.717
   120 37938 10460  4613  5851    50  0.135 0.324 0.541 0.091 0.188 0.721
   125 37861 10263  4631  5746    50  0.134 0.323 0.543 0.090 0.186 0.725
   130 37326 10328  4747  5661    50  0.132 0.321 0.547 0.088 0.186 0.726
   135 37255 10377  4669  5568    50  0.130 0.321 0.549 0.087 0.185 0.728
   140 37154 10264  4677  5546    50  0.128 0.317 0.555 0.085 0.183 0.731
   145 36958 10100  4553  5590    50  0.126 0.316 0.558 0.084 0.184 0.732
   150 36683 10350  4553  5526    50  0.124 0.314 0.561 0.084 0.184 0.733
   155 36772 10131  4643  5573    50  0.123 0.313 0.564 0.083 0.185 0.732
   160 36376 10310  4664  5430    50  0.122 0.312 0.566 0.082 0.185 0.733
   165 36182 10221  4636  5411    50  0.121 0.310 0.569 0.082 0.184 0.734
   170 36407 10106  4712  5336    50  0.120 0.311 0.568 0.081 0.185 0.734
   175 36210 10094  4594  5356    50  0.119 0.309 0.572 0.081 0.184 0.735
