 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            2000
 Myseed =         84563
 nmap =              50
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.335 0.333 0.333   NaN   NaN   NaN
     5 52622 14337  3963 10049    50  0.311 0.347 0.343 0.239 0.248 0.513
    10 51665 14001  4006  9731    50  0.277 0.341 0.382 0.206 0.227 0.566
    15 50777 13783  4209  9419    50  0.252 0.330 0.418 0.179 0.208 0.612
    20 49071 13321  4271  8868    50  0.230 0.320 0.450 0.156 0.193 0.651
    25 48262 12937  4278  8542    50  0.210 0.312 0.478 0.139 0.178 0.682
    30 46866 12848  4373  8244    50  0.196 0.304 0.500 0.125 0.168 0.707
    35 45844 12474  4311  7906    50  0.183 0.301 0.515 0.112 0.161 0.727
    40 44966 12472  4388  7748    50  0.173 0.298 0.529 0.103 0.153 0.744
    45 44161 12056  4437  7472    50  0.168 0.299 0.533 0.095 0.147 0.758
    50 43962 11930  4405  7573    50  0.163 0.302 0.535 0.089 0.145 0.766
    55 44422 12031  4498  7597    50  0.160 0.310 0.530 0.085 0.142 0.773
    60 44906 12044  4478  7856    50  0.156 0.315 0.530 0.080 0.141 0.779
    65 44813 12162  4432  7765    50  0.154 0.320 0.526 0.076 0.138 0.786
    70 44601 12098  4489  7726    50  0.152 0.326 0.523 0.072 0.137 0.791
    75 45101 12204  4489  7950    50  0.148 0.330 0.522 0.069 0.136 0.794
    80 45178 12576  4335  7930    50  0.147 0.336 0.517 0.067 0.133 0.801
    85 45424 12472  4464  7974    50  0.145 0.338 0.517 0.064 0.132 0.803
    90 46093 12367  4383  8197    50  0.144 0.343 0.513 0.062 0.132 0.806
    95 46278 12657  4468  8300    50  0.142 0.348 0.510 0.060 0.132 0.808
   100 46416 12530  4356  8331    50  0.139 0.349 0.512 0.059 0.132 0.809
   105 46262 12923  4324  8227    50  0.137 0.351 0.512 0.057 0.132 0.812
   110 46653 12530  4427  8216    50  0.134 0.353 0.513 0.054 0.131 0.815
   115 46738 12735  4436  8275    50  0.131 0.354 0.515 0.053 0.130 0.817
   120 46272 12714  4367  8226    50  0.130 0.354 0.516 0.052 0.129 0.819
   125 46489 12642  4348  8305    50  0.128 0.354 0.518 0.051 0.128 0.821
   130 46753 12723  4420  8367    50  0.126 0.352 0.522 0.050 0.128 0.822
   135 46396 12683  4446  8254    50  0.124 0.353 0.523 0.048 0.125 0.827
   140 46562 12625  4451  8380    50  0.122 0.353 0.524 0.048 0.126 0.826
   145 46098 12640  4251  8089    50  0.120 0.351 0.528 0.046 0.126 0.828
   150 46444 12599  4429  8242    50  0.119 0.353 0.528 0.047 0.129 0.824
   155 46203 12736  4316  8141    50  0.117 0.351 0.531 0.045 0.123 0.832
   160 45861 12682  4298  8116    50  0.116 0.349 0.536 0.045 0.125 0.830
   165 46385 12300  4348  8192    50  0.116 0.350 0.535 0.045 0.125 0.831
   170 45893 12533  4333  7972    50  0.114 0.346 0.539 0.043 0.123 0.833
   175 45815 12360  4395  8102    50  0.113 0.347 0.540 0.043 0.123 0.834
   180 45899 12389  4442  8100    50  0.112 0.346 0.542 0.043 0.125 0.832
   185 45407 12701  4335  8137    50  0.111 0.343 0.546 0.043 0.125 0.832
   190 45616 12370  4245  8040    50  0.109 0.342 0.548 0.043 0.125 0.833
   195 45727 12412  4423  8031    50  0.108 0.341 0.550 0.043 0.125 0.832
   200 45632 12405  4405  7898    50  0.108 0.340 0.553 0.042 0.124 0.835
   205 45222 12315  4346  7974    50  0.107 0.339 0.554 0.041 0.123 0.836
   210 45810 12461  4487  8049    50  0.106 0.337 0.557 0.041 0.123 0.835
   215 45346 12289  4537  7727    50  0.105 0.334 0.561 0.041 0.123 0.836
   220 45006 12404  4411  7821    50  0.104 0.331 0.565 0.040 0.120 0.840
   225 45170 12284  4446  7858    50  0.102 0.328 0.570 0.040 0.117 0.843
   230 44592 12145  4450  7645    50  0.102 0.325 0.573 0.039 0.117 0.844
   235 44202 12127  4480  7531    50  0.101 0.323 0.576 0.040 0.120 0.840
   240 44117 12075  4447  7602    50  0.100 0.323 0.577 0.041 0.123 0.837
   245 44165 12111  4519  7561    50  0.100 0.322 0.578 0.041 0.123 0.837
   250 44424 12039  4499  7747    50  0.100 0.321 0.578 0.040 0.122 0.838
   255 44229 11972  4392  7661    50  0.100 0.317 0.583 0.040 0.121 0.838
   260 43787 12172  4455  7483    50  0.099 0.315 0.586 0.040 0.119 0.841
   265 43119 12019  4373  7328    49  0.099 0.313 0.588 0.040 0.118 0.843
   270 43342 11840  4478  7372    49  0.099 0.314 0.587 0.039 0.118 0.842
   275 43661 11977  4559  7426    49  0.098 0.312 0.590 0.040 0.120 0.840
   280 43536 11896  4503  7387    49  0.097 0.308 0.595 0.040 0.119 0.841
   285 42846 11753  4352  7234    49  0.095 0.303 0.602 0.040 0.119 0.842
   290 42625 11752  4402  7183    49  0.095 0.303 0.602 0.039 0.118 0.843
   295 42483 11537  4501  7120    49  0.096 0.303 0.601 0.040 0.122 0.838
   300 42695 11748  4506  7162    49  0.095 0.301 0.603 0.040 0.121 0.839
   305 42874 11745  4478  7260    49  0.094 0.299 0.607 0.039 0.117 0.844
   310 42730 11532  4391  7178    49  0.094 0.298 0.608 0.038 0.116 0.846
   315 42321 11509  4520  7098    49  0.093 0.295 0.613 0.038 0.116 0.846
   320 42103 11529  4596  6834    49  0.092 0.293 0.614 0.038 0.115 0.847
   325 41545 11525  4550  6824    49  0.093 0.291 0.616 0.038 0.113 0.849
   330 41465 11362  4533  6733    49  0.092 0.290 0.618 0.038 0.114 0.848
   335 41317 11348  4474  6780    49  0.092 0.289 0.620 0.039 0.117 0.844
   340 41501 11372  4631  6787    49  0.092 0.290 0.618 0.040 0.120 0.840
   345 41613 11290  4518  6819    49  0.091 0.288 0.621 0.040 0.120 0.840
   350 41899 11485  4483  6775    49  0.091 0.287 0.623 0.040 0.121 0.839
   355 41473 11219  4560  6806    49  0.090 0.285 0.625 0.039 0.119 0.842
   360 41579 11143  4627  6712    49  0.089 0.283 0.628 0.038 0.118 0.843
   365 41179 11425  4442  6852    49  0.089 0.281 0.630 0.039 0.119 0.843
   370 41229 11284  4549  6689    49  0.089 0.281 0.630 0.039 0.118 0.843
   375 41333 11222  4636  6718    49  0.089 0.279 0.633 0.039 0.119 0.842
   380 40903 11375  4671  6634    49  0.088 0.277 0.635 0.039 0.118 0.843
   385 40831 11110  4526  6564    49  0.088 0.273 0.639 0.039 0.116 0.845
   390 40584 11156  4565  6515    49  0.086 0.272 0.642 0.039 0.117 0.844
   395 40276 11125  4584  6469    49  0.086 0.271 0.643 0.039 0.116 0.845
   400 40478 11168  4656  6544    49  0.086 0.272 0.642 0.039 0.119 0.842
   405 40790 11167  4554  6692    49  0.086 0.270 0.645 0.040 0.121 0.839
   410 40862 11124  4533  6731    49  0.085 0.268 0.647 0.039 0.120 0.841
   415 40800 11211  4593  6527    49  0.085 0.267 0.649 0.038 0.116 0.845
   420 40057 10987  4518  6240    49  0.084 0.266 0.650 0.038 0.114 0.848
   425 39583 10881  4584  6291    49  0.084 0.264 0.652 0.038 0.114 0.848
   430 39400 10847  4588  6222    49  0.083 0.261 0.656 0.038 0.113 0.849
   435 39035 10843  4571  6190    49  0.083 0.260 0.656 0.038 0.114 0.848
   440 38838 10869  4597  6137    49  0.083 0.258 0.659 0.038 0.113 0.848
   445 39294 10828  4619  6169    49  0.083 0.257 0.660 0.038 0.114 0.848
   450 39103 10653  4480  6156    49  0.082 0.254 0.664 0.038 0.114 0.848
   455 38754 10742  4583  5993    49  0.082 0.255 0.663 0.039 0.115 0.847
   460 39071 10714  4615  6251    49  0.082 0.255 0.663 0.039 0.115 0.846
   465 39246 10834  4631  6131    49  0.082 0.254 0.664 0.039 0.115 0.846
   470 38987 10830  4595  6131    49  0.082 0.253 0.665 0.039 0.114 0.847
   475 38992 10797  4422  6145    49  0.081 0.252 0.667 0.039 0.115 0.846
   480 38758 10597  4535  5938    49  0.081 0.250 0.668 0.039 0.116 0.845
   485 38785 10720  4644  6047    49  0.080 0.248 0.672 0.039 0.115 0.846
   490 38203 10723  4657  5757    49  0.079 0.246 0.674 0.039 0.114 0.847
   495 38272 10411  4593  5892    49  0.079 0.246 0.675 0.039 0.113 0.848
   500 38369 10721  4735  5942    49  0.079 0.244 0.677 0.039 0.113 0.848
   505 38411 10427  4581  5995    49  0.079 0.246 0.675 0.038 0.113 0.849
   510 37945 10336  4559  5967    49  0.078 0.244 0.678 0.037 0.111 0.851
   515 37875 10453  4628  5763    49  0.078 0.243 0.680 0.038 0.113 0.850
   520 38180 10363  4713  5859    49  0.077 0.240 0.683 0.038 0.114 0.847
   525 38126 10596  4683  5812    49  0.076 0.239 0.684 0.037 0.112 0.851
   530 37943 10522  4677  5703    49  0.076 0.239 0.684 0.037 0.111 0.852
   535 37740 10488  4529  5760    49  0.076 0.238 0.686 0.037 0.109 0.854
   540 37169 10361  4629  5553    49  0.076 0.237 0.688 0.037 0.108 0.855
   545 37257 10161  4590  5734    49  0.075 0.235 0.689 0.038 0.112 0.850
   550 37211 10344  4757  5622    49  0.075 0.236 0.689 0.037 0.112 0.851
   555 37007 10424  4607  5617    49  0.075 0.235 0.691 0.038 0.112 0.850
   560 36878 10362  4728  5508    49  0.075 0.234 0.691 0.038 0.113 0.849
   565 37133 10157  4603  5667    49  0.075 0.235 0.690 0.038 0.115 0.846
   570 37744 10212  4580  5736    49  0.075 0.234 0.691 0.038 0.115 0.847
   575 37503 10141  4636  5688    49  0.075 0.233 0.692 0.038 0.114 0.848
   580 37335 10316  4724  5660    49  0.074 0.231 0.694 0.038 0.113 0.848
   585 37178 10230  4582  5517    49  0.074 0.228 0.698 0.038 0.113 0.849
   590 36896 10147  4548  5647    49  0.075 0.229 0.696 0.038 0.113 0.849
   595 36694 10058  4620  5498    49  0.074 0.228 0.697 0.038 0.113 0.849
   600 36524 10091  4611  5533    49  0.074 0.227 0.699 0.038 0.114 0.848
   605 36617 10136  4554  5529    49  0.074 0.227 0.699 0.038 0.113 0.849
   610 36556 10205  4664  5388    49  0.074 0.227 0.699 0.039 0.114 0.847
   615 36415  9871  4629  5396    49  0.074 0.226 0.700 0.038 0.113 0.849
   620 37058 10105  4683  5488    49  0.074 0.226 0.699 0.038 0.113 0.848
   625 37064 10375  4679  5540    49  0.074 0.225 0.701 0.038 0.112 0.850
   630 36405 10358  4560  5372    49  0.074 0.224 0.702 0.038 0.110 0.852
   635 36081 10248  4617  5253    49  0.074 0.223 0.703 0.038 0.109 0.853
   640 35929  9837  4725  5256    49  0.074 0.221 0.706 0.038 0.109 0.853
   645 36049 10152  4675  5340    49  0.073 0.219 0.708 0.037 0.107 0.856
   650 35858  9944  4656  5267    49  0.073 0.220 0.707 0.037 0.107 0.855
   655 35724 10066  4680  5231    49  0.073 0.219 0.708 0.037 0.106 0.857
   660 35895  9854  4669  5296    49  0.073 0.218 0.708 0.037 0.107 0.856
   665 35526  9773  4717  5209    49  0.073 0.217 0.710 0.037 0.107 0.855
   670 35340  9752  4688  5229    49  0.073 0.216 0.711 0.038 0.108 0.854
   675 35548  9912  4783  5188    49  0.073 0.216 0.711 0.038 0.106 0.856
   680 35327  9834  4714  5181    49  0.073 0.214 0.712 0.038 0.106 0.856
   685 35136  9639  4645  5102    49  0.073 0.215 0.712 0.038 0.108 0.854
   690 34715  9765  4594  4980    49  0.073 0.215 0.712 0.039 0.109 0.851
   695 35260  9759  4681  5065    49  0.073 0.216 0.711 0.040 0.111 0.849
   700 35519  9876  4729  5208    49  0.073 0.214 0.713 0.039 0.110 0.850
   705 35284  9762  4519  5065    49  0.073 0.212 0.715 0.039 0.109 0.851
   710 35504  9688  4727  5110    49  0.073 0.213 0.714 0.040 0.111 0.849
   715 35315  9827  4633  5107    49  0.073 0.211 0.716 0.040 0.111 0.849
   720 35409  9733  4675  5120    49  0.073 0.212 0.715 0.040 0.111 0.849
   725 35393  9646  4666  5156    49  0.073 0.212 0.715 0.040 0.109 0.851
   730 34774  9758  4556  4926    49  0.073 0.211 0.716 0.039 0.108 0.853
   735 34892  9716  4711  5115    48  0.073 0.210 0.718 0.040 0.109 0.852
   740 35005  9722  4744  5020    48  0.073 0.210 0.716 0.040 0.109 0.851
   745 35403  9726  4760  5156    48  0.073 0.210 0.717 0.039 0.107 0.853
   750 35084  9799  4656  5080    48  0.073 0.209 0.719 0.039 0.109 0.852
   755 34736  9804  4704  4946    48  0.073 0.209 0.719 0.039 0.108 0.852
   760 34772  9570  4685  5002    48  0.072 0.206 0.721 0.039 0.106 0.855
   765 34580  9615  4587  4923    47  0.072 0.206 0.722 0.039 0.106 0.854
   770 34533  9515  4626  4849    47  0.072 0.205 0.723 0.039 0.107 0.854
   775 34411  9631  4722  5011    47  0.072 0.205 0.723 0.039 0.107 0.853
   780 34442  9367  4730  4808    47  0.071 0.203 0.726 0.039 0.106 0.855
   785 34547  9605  4624  4966    47  0.071 0.205 0.724 0.039 0.106 0.856
   790 34699  9503  4699  4904    47  0.072 0.205 0.723 0.039 0.106 0.855
   795 34815  9526  4643  4962    47  0.072 0.204 0.723 0.039 0.105 0.856
   800 34060  9589  4734  4717    47  0.072 0.203 0.726 0.039 0.104 0.857
   805 33903  9484  4636  4678    47  0.072 0.202 0.726 0.038 0.103 0.858
   810 34099  9587  4582  4835    47  0.073 0.203 0.724 0.039 0.103 0.858
   815 34325  9458  4741  4760    47  0.072 0.203 0.725 0.039 0.104 0.857
   820 33948  9445  4650  4673    47  0.072 0.202 0.726 0.039 0.105 0.856
   825 34130  9496  4650  4805    47  0.072 0.201 0.727 0.040 0.107 0.853
   830 34374  9482  4605  4920    47  0.071 0.199 0.730 0.039 0.105 0.856
   835 34225  9529  4675  4824    47  0.070 0.198 0.732 0.039 0.105 0.856
   840 34218  9540  4640  4761    47  0.071 0.198 0.731 0.039 0.105 0.856
   845 33586  9428  4626  4541    47  0.070 0.197 0.733 0.040 0.106 0.854
   850 33528  9350  4666  4721    47  0.070 0.197 0.733 0.039 0.105 0.856
   855 33421  9213  4715  4619    47  0.071 0.197 0.732 0.040 0.106 0.854
   860 33624  9130  4577  4720    47  0.072 0.197 0.732 0.040 0.106 0.854
   865 33754  9447  4544  4728    47  0.072 0.197 0.731 0.041 0.107 0.852
   870 33683  9463  4633  4818    47  0.072 0.197 0.731 0.040 0.107 0.853
   875 33853  9482  4688  4780    47  0.072 0.197 0.732 0.040 0.105 0.855
   880 33790  9467  4797  4704    47  0.071 0.196 0.733 0.040 0.106 0.854
   885 33614  9553  4583  4655    47  0.071 0.195 0.733 0.040 0.106 0.854
   890 33667  9267  4681  4682    47  0.072 0.195 0.733 0.040 0.104 0.856
   895 33409  9165  4728  4711    47  0.071 0.194 0.735 0.040 0.104 0.856
   900 33279  9301  4620  4542    47  0.071 0.192 0.737 0.039 0.102 0.859
   905 33079  9250  4768  4594    47  0.070 0.192 0.738 0.040 0.104 0.856
   910 33272  9239  4636  4630    47  0.071 0.191 0.739 0.040 0.104 0.856
   915 33504  9184  4647  4652    47  0.071 0.190 0.739 0.040 0.104 0.856
   920 32842  9194  4597  4487    47  0.071 0.190 0.739 0.039 0.102 0.859
   925 32628  8981  4529  4509    47  0.071 0.190 0.739 0.040 0.103 0.857
   930 32646  9154  4680  4496    47  0.072 0.190 0.738 0.040 0.103 0.857
   935 32354  9115  4582  4287    46  0.071 0.189 0.741 0.041 0.103 0.857
   940 32336  8959  4484  4467    46  0.071 0.187 0.742 0.041 0.102 0.857
   945 32459  8900  4582  4488    46  0.070 0.187 0.743 0.041 0.102 0.857
   950 32804  8977  4751  4551    46  0.070 0.187 0.743 0.041 0.103 0.856
   955 32487  8966  4649  4376    46  0.071 0.187 0.743 0.041 0.104 0.855
   960 32528  9062  4653  4408    46  0.070 0.187 0.742 0.041 0.103 0.856
   965 32857  9187  4804  4441    46  0.070 0.187 0.743 0.040 0.102 0.858
   970 32719  9095  4608  4451    46  0.070 0.186 0.743 0.040 0.101 0.859
   975 32301  8989  4587  4269    46  0.070 0.184 0.746 0.040 0.101 0.860
   980 32451  9018  4672  4300    46  0.070 0.185 0.745 0.040 0.101 0.859
   985 32506  9106  4672  4375    46  0.070 0.186 0.745 0.040 0.101 0.860
   990 32265  9020  4592  4313    46  0.070 0.185 0.745 0.041 0.103 0.856
   995 32346  9006  4644  4403    46  0.070 0.185 0.746 0.040 0.102 0.858
  1000 32221  8913  4617  4366    46  0.070 0.184 0.746 0.039 0.101 0.859
  1005 32191  8911  4671  4441    46  0.070 0.183 0.748 0.039 0.101 0.859
  1010 32256  8861  4660  4403    46  0.069 0.181 0.749 0.040 0.101 0.859
  1015 32009  9016  4567  4266    46  0.069 0.180 0.751 0.040 0.099 0.861
  1020 31798  8802  4703  4240    46  0.069 0.179 0.752 0.040 0.099 0.861
  1025 32003  8783  4627  4168    46  0.069 0.178 0.753 0.041 0.099 0.860
  1030 32034  8747  4795  4303    46  0.070 0.180 0.750 0.041 0.101 0.859
  1035 32081  8973  4660  4425    46  0.070 0.179 0.751 0.041 0.101 0.858
  1040 31939  8941  4561  4322    46  0.070 0.180 0.750 0.041 0.102 0.857
  1045 32001  8812  4741  4251    46  0.070 0.179 0.750 0.041 0.101 0.858
  1050 31543  8984  4636  4265    46  0.070 0.178 0.752 0.041 0.101 0.858
  1055 31873  8802  4572  4279    46  0.070 0.179 0.750 0.042 0.102 0.857
  1060 31491  8863  4617  4121    46  0.070 0.179 0.751 0.041 0.100 0.860
  1065 31554  8753  4607  4174    46  0.070 0.179 0.751 0.041 0.100 0.859
  1070 31689  9020  4692  4179    46  0.071 0.178 0.751 0.042 0.102 0.856
  1075 31758  8833  4570  4167    46  0.070 0.179 0.751 0.042 0.103 0.855
  1080 31584  8999  4745  4250    46  0.070 0.177 0.753 0.042 0.103 0.854
  1085 31981  9027  4631  4296    46  0.070 0.176 0.754 0.042 0.103 0.855
  1090 32073  8945  4665  4256    46  0.070 0.177 0.753 0.042 0.102 0.856
  1095 31287  8752  4525  4158    46  0.070 0.177 0.753 0.041 0.099 0.859
  1100 31469  8836  4621  4146    46  0.069 0.175 0.756 0.041 0.099 0.860
  1105 30957  8575  4603  4057    46  0.070 0.174 0.756 0.041 0.099 0.859
  1110 31192  8716  4540  4085    46  0.070 0.174 0.756 0.041 0.100 0.859
  1115 31312  8817  4617  4096    46  0.070 0.173 0.757 0.041 0.101 0.858
  1120 31551  8871  4680  4184    46  0.069 0.172 0.758 0.041 0.100 0.859
  1125 31345  8838  4590  4024    46  0.069 0.171 0.760 0.041 0.098 0.861
  1130 31229  8661  4660  4066    45  0.069 0.171 0.761 0.041 0.098 0.861
  1135 30685  8703  4605  3994    45  0.069 0.171 0.759 0.041 0.098 0.861
  1140 30963  8591  4669  4038    45  0.069 0.171 0.760 0.042 0.099 0.859
  1145 30450  8600  4461  4012    45  0.070 0.171 0.759 0.042 0.099 0.858
  1150 30620  8430  4624  3935    45  0.070 0.171 0.759 0.041 0.098 0.860
  1155 30304  8439  4528  3980    45  0.070 0.170 0.760 0.042 0.100 0.858
  1160 30678  8559  4613  3938    45  0.070 0.171 0.759 0.043 0.101 0.855
  1165 30835  8597  4722  3977    45  0.070 0.171 0.759 0.043 0.103 0.854
  1170 30955  8658  4585  4023    45  0.070 0.171 0.759 0.043 0.101 0.856
  1175 30675  8635  4667  3994    45  0.070 0.170 0.760 0.044 0.102 0.855
  1180 30969  8604  4646  3971    45  0.069 0.169 0.761 0.042 0.100 0.857
  1185 31004  8636  4649  3982    45  0.069 0.168 0.763 0.042 0.100 0.859
  1190 30461  8621  4630  3949    45  0.069 0.167 0.764 0.042 0.100 0.858
  1195 30332  8584  4531  3808    45  0.068 0.166 0.766 0.042 0.100 0.858
  1200 30064  8372  4677  3847    45  0.068 0.166 0.766 0.042 0.099 0.858
  1205 29902  8504  4576  3812    45  0.069 0.167 0.765 0.042 0.099 0.859
  1210 29812  8300  4417  3889    45  0.069 0.166 0.765 0.043 0.100 0.857
  1215 30390  8360  4573  3960    45  0.068 0.165 0.766 0.043 0.100 0.857
  1220 30231  8496  4512  3873    45  0.068 0.165 0.767 0.043 0.100 0.857
  1225 29535  8548  4456  3723    45  0.069 0.164 0.767 0.042 0.099 0.859
  1230 30281  8395  4676  3788    45  0.068 0.164 0.768 0.042 0.099 0.858
  1235 30080  8453  4608  3831    45  0.068 0.164 0.768 0.043 0.099 0.858
  1240 29893  8474  4522  3805    45  0.068 0.164 0.768 0.043 0.098 0.859
  1245 30352  8430  4601  3908    45  0.068 0.163 0.769 0.042 0.098 0.859
  1250 30576  8587  4722  3907    45  0.068 0.164 0.768 0.043 0.099 0.858
  1255 30291  8309  4627  3790    45  0.068 0.163 0.769 0.043 0.100 0.858
  1260 30112  8520  4627  3911    45  0.069 0.163 0.769 0.043 0.099 0.858
  1265 29908  8393  4601  3782    45  0.068 0.163 0.769 0.044 0.100 0.857
  1270 29878  8439  4506  3888    45  0.068 0.163 0.769 0.044 0.100 0.857
  1275 29756  8225  4554  3723    45  0.068 0.163 0.769 0.044 0.099 0.858
  1280 29981  8522  4585  3785    45  0.069 0.163 0.768 0.044 0.099 0.857
  1285 29850  8454  4543  3763    45  0.069 0.162 0.769 0.044 0.100 0.856
  1290 29902  8466  4550  3793    45  0.069 0.163 0.768 0.044 0.100 0.856
  1295 29723  8346  4520  3769    45  0.070 0.163 0.767 0.044 0.101 0.855
  1300 30154  8308  4628  3887    45  0.069 0.162 0.768 0.045 0.100 0.856
  1305 29903  8441  4568  3796    45  0.069 0.162 0.769 0.044 0.099 0.857
  1310 29778  8322  4593  3683    45  0.069 0.162 0.769 0.044 0.098 0.858
  1315 29464  8410  4498  3698    45  0.069 0.161 0.769 0.043 0.097 0.859
  1320 29385  8205  4645  3740    45  0.069 0.161 0.769 0.044 0.098 0.858
  1325 29826  8332  4630  3812    45  0.069 0.161 0.770 0.044 0.098 0.858
  1330 29618  8243  4551  3678    45  0.069 0.160 0.771 0.044 0.098 0.859
  1335 29500  8457  4506  3834    45  0.069 0.160 0.771 0.043 0.097 0.860
  1340 29252  8243  4540  3580    45  0.070 0.161 0.769 0.044 0.098 0.859
  1345 29453  8118  4536  3648    45  0.069 0.160 0.771 0.044 0.099 0.858
  1350 29802  8263  4570  3661    45  0.069 0.160 0.771 0.044 0.097 0.859
  1355 29721  8253  4743  3775    45  0.069 0.160 0.771 0.044 0.097 0.860
  1360 29549  8338  4565  3715    45  0.069 0.160 0.770 0.044 0.099 0.858
  1365 29773  8299  4594  3714    45  0.069 0.159 0.772 0.043 0.097 0.859
  1370 29539  8422  4595  3714    45  0.069 0.160 0.772 0.043 0.097 0.859
  1375 28909  8205  4500  3538    45  0.068 0.159 0.773 0.043 0.098 0.859
  1380 29531  8216  4592  3710    45  0.068 0.159 0.773 0.043 0.097 0.859
  1385 29315  8321  4651  3654    45  0.067 0.158 0.775 0.043 0.097 0.860
  1390 29428  8317  4633  3721    45  0.068 0.159 0.774 0.043 0.096 0.861
  1395 29307  8232  4503  3685    45  0.067 0.159 0.774 0.042 0.095 0.863
  1400 29419  8206  4620  3702    45  0.067 0.158 0.775 0.042 0.095 0.863
  1405 29082  8269  4463  3513    45  0.067 0.158 0.775 0.042 0.094 0.864
  1410 28823  8178  4450  3564    45  0.067 0.157 0.777 0.042 0.094 0.864
  1415 29290  7867  4698  3574    45  0.067 0.157 0.776 0.042 0.093 0.865
  1420 29078  8098  4540  3576    45  0.067 0.157 0.776 0.042 0.094 0.864
  1425 28599  7884  4521  3462    45  0.067 0.156 0.777 0.041 0.093 0.866
  1430 28551  8170  4458  3549    45  0.067 0.157 0.775 0.042 0.097 0.861
  1435 28921  8106  4589  3573    45  0.067 0.157 0.776 0.043 0.098 0.860
  1440 29124  8264  4614  3632    45  0.067 0.158 0.775 0.043 0.097 0.860
  1445 29235  8165  4617  3584    45  0.067 0.158 0.775 0.043 0.096 0.861
  1450 29469  8236  4598  3714    45  0.068 0.158 0.774 0.043 0.097 0.861
  1455 29506  8232  4587  3660    45  0.067 0.157 0.776 0.043 0.096 0.861
  1460 29023  8092  4594  3552    45  0.067 0.155 0.778 0.043 0.096 0.861
  1465 28864  8070  4539  3582    45  0.068 0.156 0.777 0.043 0.095 0.861
  1470 28982  7944  4550  3543    45  0.068 0.156 0.776 0.044 0.096 0.860
  1475 29165  8237  4510  3641    45  0.068 0.157 0.775 0.044 0.098 0.858
  1480 29190  8347  4703  3652    45  0.068 0.156 0.776 0.044 0.097 0.859
  1485 29227  8004  4570  3678    45  0.067 0.156 0.777 0.043 0.096 0.861
  1490 29107  8156  4531  3536    45  0.067 0.154 0.779 0.043 0.096 0.862
  1495 28993  8197  4650  3544    44  0.067 0.155 0.778 0.042 0.096 0.862
  1500 29099  8030  4526  3572    44  0.067 0.155 0.778 0.043 0.097 0.861
  1505 29537  8235  4521  3763    44  0.067 0.155 0.777 0.043 0.098 0.859
  1510 29456  8113  4544  3685    44  0.067 0.155 0.778 0.043 0.098 0.859
  1515 29267  8318  4536  3638    44  0.067 0.156 0.777 0.043 0.096 0.861
  1520 28952  8066  4481  3623    44  0.068 0.155 0.777 0.044 0.096 0.860
  1525 28796  8077  4531  3550    44  0.068 0.156 0.776 0.043 0.098 0.858
  1530 28800  8077  4475  3592    44  0.067 0.157 0.776 0.043 0.098 0.859
  1535 29204  8292  4581  3609    44  0.068 0.156 0.776 0.043 0.096 0.861
  1540 29649  8289  4538  3692    44  0.068 0.156 0.776 0.043 0.098 0.859
  1545 29141  8271  4472  3592    44  0.067 0.156 0.776 0.043 0.098 0.859
  1550 29207  8156  4600  3612    43  0.067 0.155 0.778 0.043 0.097 0.860
  1555 29000  8096  4434  3572    43  0.067 0.156 0.777 0.042 0.096 0.862
  1560 29168  8115  4472  3648    43  0.067 0.156 0.777 0.043 0.097 0.860
  1565 29058  8110  4617  3634    43  0.067 0.157 0.776 0.043 0.095 0.862
  1570 28716  8086  4592  3469    43  0.067 0.156 0.777 0.043 0.095 0.861
  1575 28968  8211  4530  3606    43  0.067 0.156 0.777 0.044 0.097 0.860
  1580 28847  8329  4555  3577    43  0.068 0.156 0.777 0.043 0.097 0.861
  1585 29165  8158  4617  3621    43  0.067 0.156 0.777 0.043 0.096 0.861
  1590 29142  8136  4608  3603    43  0.068 0.155 0.777 0.043 0.097 0.859
  1595 29226  8085  4606  3511    43  0.067 0.154 0.779 0.043 0.095 0.862
  1600 28734  8089  4475  3532    43  0.067 0.154 0.779 0.043 0.096 0.860
  1605 28829  8072  4585  3506    43  0.067 0.153 0.779 0.044 0.097 0.860
  1610 28738  8156  4568  3501    43  0.067 0.153 0.780 0.044 0.096 0.860
  1615 28406  8054  4438  3472    43  0.067 0.153 0.780 0.043 0.095 0.861
  1620 28498  8084  4490  3455    43  0.067 0.154 0.780 0.043 0.094 0.863
  1625 28529  7823  4561  3466    43  0.067 0.153 0.780 0.043 0.095 0.862
  1630 28737  8095  4488  3502    43  0.067 0.154 0.779 0.044 0.096 0.861
  1635 28469  8072  4489  3492    43  0.067 0.153 0.780 0.044 0.098 0.858
  1640 28676  8116  4596  3483    43  0.068 0.154 0.778 0.044 0.098 0.857
  1645 28821  8036  4548  3514    43  0.069 0.154 0.777 0.044 0.098 0.858
  1650 29214  8207  4577  3529    43  0.068 0.153 0.779 0.045 0.098 0.857
  1655 28906  7924  4466  3598    43  0.068 0.153 0.779 0.044 0.097 0.859
