 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =        1.00000000    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            2000
 Myseed =         84563
 nmap =              50
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.332 0.334   NaN   NaN   NaN
     5 52823 14069  4047 10008    50  0.310 0.345 0.344 0.237 0.246 0.518
    10 51834 14012  4017  9650    50  0.278 0.341 0.381 0.205 0.224 0.571
    15 50327 13562  4194  9235    50  0.250 0.334 0.416 0.176 0.204 0.620
    20 48808 13372  4180  8894    50  0.229 0.325 0.446 0.154 0.189 0.657
    25 47365 13023  4255  8372    50  0.212 0.318 0.469 0.136 0.173 0.691
    30 46200 12668  4430  8099    50  0.200 0.311 0.489 0.122 0.158 0.720
    35 45599 12272  4410  7928    50  0.191 0.311 0.497 0.110 0.150 0.740
    40 45089 12357  4377  7787    50  0.183 0.315 0.502 0.100 0.138 0.761
    45 44296 12242  4434  7725    50  0.177 0.320 0.503 0.092 0.136 0.772
    50 44784 12206  4358  7902    50  0.174 0.334 0.492 0.087 0.133 0.780
    55 45433 12562  4448  7901    50  0.171 0.345 0.484 0.082 0.130 0.788
    60 45908 12389  4413  8253    50  0.170 0.361 0.469 0.076 0.126 0.798
    65 47230 12764  4493  8540    50  0.169 0.380 0.452 0.070 0.124 0.806
    70 47983 12913  4281  8790    50  0.168 0.395 0.437 0.068 0.125 0.808
    75 48551 13216  4331  8911    50  0.169 0.410 0.421 0.064 0.123 0.813
    80 49700 13362  4316  9153    50  0.166 0.423 0.411 0.059 0.119 0.822
    85 50071 13608  4107  9507    50  0.165 0.433 0.403 0.056 0.119 0.825
    90 50890 13823  4034  9718    50  0.162 0.442 0.395 0.053 0.118 0.829
    95 51041 13790  4062  9682    50  0.160 0.452 0.388 0.049 0.115 0.836
   100 51389 13779  4136  9859    50  0.158 0.459 0.383 0.048 0.119 0.833
   105 51542 13943  3996 10039    50  0.155 0.463 0.383 0.046 0.118 0.836
   110 52119 14222  4081 10137    50  0.151 0.469 0.380 0.043 0.114 0.843
   115 52535 14126  4065 10184    50  0.148 0.474 0.377 0.041 0.114 0.845
   120 52541 13829  4110 10122    50  0.144 0.474 0.382 0.039 0.110 0.851
   125 52716 14087  4065 10284    50  0.144 0.481 0.375 0.039 0.112 0.849
   130 52704 14101  3975 10194    50  0.141 0.483 0.376 0.038 0.113 0.849
   135 53168 14244  3933 10350    50  0.139 0.489 0.372 0.037 0.114 0.848
   140 53327 14291  4082 10366    50  0.137 0.491 0.371 0.036 0.112 0.852
   145 53479 14285  3967 10453    50  0.136 0.495 0.369 0.036 0.117 0.847
   150 53121 14433  3941 10279    50  0.135 0.493 0.372 0.035 0.115 0.850
   155 53446 14284  4031 10202    50  0.134 0.494 0.372 0.036 0.117 0.847
   160 53421 14301  4006 10332    50  0.134 0.495 0.371 0.035 0.116 0.849
   165 53481 14293  3829 10473    50  0.131 0.494 0.374 0.033 0.113 0.854
   170 53219 14321  3930 10478    50  0.130 0.494 0.376 0.034 0.116 0.850
   175 53857 14405  4135 10516    50  0.131 0.500 0.369 0.033 0.116 0.850
   180 53584 14340  3935 10446    50  0.130 0.499 0.371 0.032 0.115 0.852
   185 53813 14617  3935 10589    50  0.130 0.500 0.370 0.033 0.116 0.851
   190 53826 14558  3949 10647    50  0.129 0.502 0.370 0.033 0.118 0.849
   195 53649 14512  3975 10556    50  0.129 0.502 0.369 0.033 0.117 0.851
   200 53645 14400  4002 10296    50  0.130 0.502 0.368 0.032 0.113 0.855
   205 53677 14283  4057 10405    50  0.129 0.499 0.371 0.031 0.110 0.859
   210 53766 14370  3938 10490    50  0.126 0.497 0.377 0.031 0.113 0.856
   215 53413 14250  3962 10349    50  0.126 0.499 0.375 0.031 0.113 0.857
   220 53701 14331  4008 10492    50  0.125 0.498 0.377 0.030 0.112 0.858
   225 53274 14431  3897 10455    50  0.125 0.500 0.375 0.030 0.115 0.854
   230 53805 14353  4004 10488    50  0.125 0.503 0.372 0.030 0.112 0.858
   235 54167 14487  4002 10651    50  0.124 0.507 0.369 0.032 0.117 0.851
   240 54011 14554  3845 10684    50  0.123 0.505 0.373 0.030 0.114 0.856
   245 53952 14533  3910 10513    50  0.122 0.506 0.372 0.029 0.112 0.859
   250 53694 14485  3941 10388    50  0.122 0.505 0.373 0.030 0.116 0.854
   255 54151 14561  4073 10645    50  0.121 0.504 0.375 0.031 0.119 0.850
   260 53734 14494  4081 10354    50  0.120 0.502 0.377 0.029 0.113 0.858
   265 53817 14365  3929 10406    50  0.121 0.503 0.376 0.029 0.111 0.860
   270 54006 14661  3887 10624    50  0.120 0.503 0.377 0.029 0.112 0.859
   275 53722 14380  3947 10513    50  0.120 0.504 0.377 0.028 0.109 0.862
   280 53488 14334  4036 10610    50  0.118 0.501 0.381 0.028 0.109 0.863
   285 53521 14586  3839 10501    50  0.118 0.504 0.377 0.028 0.109 0.863
   290 53664 14224  4040 10312    50  0.118 0.505 0.377 0.029 0.114 0.858
   295 53729 14511  3911 10556    50  0.118 0.509 0.373 0.028 0.111 0.860
   300 53783 14553  3907 10461    50  0.117 0.507 0.376 0.029 0.114 0.857
   305 54032 14696  4001 10589    50  0.118 0.509 0.373 0.029 0.112 0.859
   310 53751 14586  3883 10633    50  0.117 0.508 0.375 0.029 0.114 0.857
   315 53707 14434  3911 10398    50  0.117 0.512 0.371 0.028 0.114 0.857
   320 54189 14696  3925 10650    50  0.116 0.511 0.373 0.028 0.114 0.857
   325 53865 14430  3844 10393    50  0.116 0.510 0.374 0.028 0.114 0.858
   330 54308 14489  4026 10620    50  0.115 0.510 0.375 0.027 0.112 0.861
   335 54268 14628  3912 10615    50  0.115 0.509 0.376 0.028 0.115 0.857
   340 54341 14597  3970 10716    50  0.114 0.509 0.377 0.028 0.117 0.855
   345 54082 14681  3874 10543    50  0.114 0.507 0.379 0.028 0.115 0.857
   350 53894 14560  3885 10629    50  0.113 0.510 0.377 0.027 0.113 0.860
   355 54159 14743  3949 10540    50  0.114 0.511 0.376 0.027 0.115 0.858
   360 54106 14474  3899 10615    50  0.113 0.511 0.376 0.027 0.114 0.859
   365 54139 14449  3892 10598    50  0.113 0.509 0.378 0.027 0.115 0.858
   370 53647 14582  3896 10521    50  0.113 0.509 0.378 0.027 0.113 0.860
   375 54225 14589  4020 10593    50  0.113 0.512 0.374 0.027 0.114 0.859
   380 53865 14589  3781 10552    50  0.113 0.512 0.375 0.026 0.109 0.865
   385 54143 14701  4012 10507    50  0.113 0.511 0.376 0.026 0.112 0.862
   390 54462 14503  3974 10577    50  0.113 0.512 0.375 0.026 0.111 0.863
   395 54131 14613  3881 10659    50  0.113 0.511 0.376 0.028 0.115 0.857
   400 53934 14445  3882 10625    50  0.113 0.511 0.376 0.027 0.114 0.859
   405 54172 14567  3907 10640    50  0.113 0.510 0.378 0.027 0.115 0.857
   410 53866 14512  3943 10521    50  0.113 0.510 0.377 0.026 0.110 0.864
   415 53967 14415  4022 10617    50  0.113 0.514 0.373 0.026 0.111 0.862
   420 54102 14534  3917 10611    50  0.112 0.511 0.377 0.026 0.112 0.862
   425 54171 14574  3971 10542    50  0.112 0.511 0.377 0.026 0.113 0.860
   430 54052 14475  3967 10729    50  0.112 0.513 0.375 0.027 0.113 0.861
   435 53899 14476  3888 10523    50  0.112 0.514 0.374 0.027 0.113 0.861
   440 54283 14693  3882 10817    50  0.112 0.513 0.375 0.027 0.115 0.858
   445 54225 14585  3911 10432    50  0.111 0.513 0.376 0.027 0.114 0.860
   450 54582 14610  3937 10758    50  0.111 0.513 0.377 0.025 0.110 0.865
   455 54288 14596  3970 10457    50  0.110 0.509 0.381 0.026 0.111 0.863
   460 53969 14439  4090 10604    50  0.111 0.513 0.376 0.026 0.111 0.864
   465 54006 14589  4027 10719    50  0.111 0.514 0.375 0.026 0.113 0.862
   470 54069 14623  3916 10521    50  0.112 0.517 0.372 0.025 0.110 0.865
   475 54519 14555  3990 10678    50  0.111 0.516 0.372 0.026 0.110 0.864
