 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.500000000    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.334 0.333   NaN   NaN   NaN
     5 30965 14089  4811  7197    50  0.310 0.352 0.337 0.266 0.280 0.454
    10 25356 11231  4443  6115    50  0.283 0.363 0.354 0.253 0.301 0.446
    15 22741  9866  4274  5451    50  0.263 0.377 0.360 0.237 0.314 0.449
    20 21797  9659  4126  5345    50  0.246 0.395 0.358 0.229 0.333 0.438
    25 21881  9606  4101  5482    50  0.231 0.412 0.357 0.215 0.359 0.426
    30 22646  9571  4144  5772    50  0.218 0.425 0.357 0.202 0.374 0.424
    35 24209 10327  4290  6340    50  0.210 0.436 0.354 0.192 0.382 0.426
    40 25888 10852  4277  6919    50  0.201 0.441 0.358 0.181 0.389 0.430
    45 27424 11612  4405  7461    50  0.192 0.449 0.359 0.175 0.394 0.431
    50 28170 12101  4493  7717    50  0.182 0.455 0.362 0.163 0.394 0.444
    55 29605 12325  4583  8102    50  0.177 0.456 0.368 0.157 0.393 0.450
    60 30217 12645  4575  8283    50  0.170 0.455 0.375 0.150 0.392 0.458
    65 30456 12757  4642  8314    50  0.164 0.454 0.382 0.146 0.393 0.461
    70 30338 12726  4664  8299    50  0.158 0.454 0.389 0.140 0.388 0.472
    75 29764 12687  4626  8150    50  0.153 0.450 0.397 0.135 0.386 0.478
    80 29709 12808  4522  8138    50  0.149 0.448 0.403 0.132 0.385 0.484
    85 29690 12615  4542  8191    50  0.145 0.447 0.408 0.127 0.383 0.491
    90 29657 12692  4628  7981    50  0.140 0.445 0.414 0.123 0.381 0.496
    95 29193 12616  4603  7836    50  0.136 0.441 0.423 0.121 0.382 0.498
   100 28727 12283  4501  7654    50  0.134 0.440 0.426 0.117 0.380 0.503
   105 28412 12125  4575  7719    50  0.131 0.442 0.427 0.114 0.379 0.506
   110 28221 12171  4431  7561    50  0.129 0.440 0.431 0.114 0.381 0.506
   115 28322 11985  4618  7529    50  0.127 0.439 0.434 0.112 0.378 0.510
   120 28952 12225  4511  7783    50  0.125 0.438 0.437 0.111 0.379 0.510
   125 28878 12199  4536  7683    50  0.123 0.436 0.440 0.108 0.376 0.516
   130 28610 12421  4575  7605    50  0.122 0.435 0.444 0.107 0.373 0.520
   135 28117 12028  4599  7427    50  0.121 0.431 0.448 0.106 0.373 0.522
   140 27825 11722  4436  7400    50  0.119 0.428 0.453 0.103 0.370 0.527
   145 27316 11954  4416  7237    50  0.117 0.426 0.457 0.103 0.368 0.529
   150 26914 11598  4573  7076    50  0.116 0.424 0.460 0.102 0.367 0.531
   155 26501 11453  4360  6870    50  0.113 0.422 0.465 0.100 0.367 0.533
   160 26158 11300  4428  6786    50  0.112 0.420 0.468 0.098 0.370 0.531
   165 25951 11188  4414  6768    50  0.111 0.423 0.466 0.098 0.369 0.534
   170 26121 11187  4407  6880    50  0.110 0.422 0.468 0.096 0.367 0.537
   175 25893 11099  4372  6776    50  0.108 0.421 0.470 0.094 0.367 0.539
   180 25589 11040  4250  6678    50  0.107 0.420 0.473 0.094 0.368 0.538
   185 26233 11037  4400  6978    50  0.106 0.421 0.472 0.093 0.370 0.537
   190 26352 11264  4489  6850    50  0.105 0.418 0.477 0.092 0.370 0.538
   195 26496 11449  4432  6886    50  0.104 0.418 0.478 0.091 0.366 0.543
   200 26177 11277  4363  6921    50  0.103 0.419 0.478 0.091 0.368 0.542
   205 26008 11263  4381  6760    50  0.102 0.414 0.484 0.089 0.366 0.545
   210 25570 10995  4374  6599    50  0.101 0.412 0.487 0.088 0.363 0.549
   215 25073 10839  4229  6562    50  0.101 0.410 0.489 0.088 0.363 0.549
   220 24639 10658  4129  6409    50  0.100 0.412 0.488 0.087 0.365 0.548
   225 25073 11056  4370  6399    50  0.099 0.413 0.488 0.087 0.367 0.546
   230 25025 10913  4226  6469    50  0.099 0.414 0.488 0.086 0.367 0.547
   235 24974 10786  4289  6352    50  0.097 0.411 0.492 0.087 0.368 0.545
   240 25409 10936  4510  6510    50  0.097 0.412 0.491 0.086 0.366 0.548
   245 24719 10883  4312  6374    50  0.097 0.410 0.493 0.086 0.365 0.550
   250 24512 10520  4275  6329    49  0.096 0.412 0.492 0.085 0.367 0.548
   255 24638 10687  4295  6374    49  0.096 0.413 0.491 0.084 0.367 0.549
   260 24864 10485  4300  6479    49  0.094 0.412 0.494 0.083 0.368 0.549
   265 24874 10595  4256  6501    49  0.093 0.410 0.496 0.083 0.368 0.549
   270 25113 10805  4329  6352    49  0.092 0.409 0.499 0.082 0.368 0.549
   275 24825 10673  4171  6393    49  0.092 0.409 0.499 0.082 0.366 0.552
   280 24769 10675  4279  6302    49  0.090 0.408 0.502 0.081 0.368 0.552
   285 24924 10747  4339  6460    49  0.091 0.406 0.503 0.081 0.365 0.554
   290 24756 10827  4337  6306    49  0.090 0.405 0.505 0.080 0.365 0.555
   295 24079 10724  4223  6111    49  0.089 0.402 0.509 0.079 0.361 0.560
   300 23908 10239  4237  6064    49  0.089 0.400 0.510 0.078 0.361 0.561
   305 23892 10108  4156  6165    49  0.087 0.400 0.513 0.078 0.363 0.559
   310 24286 10263  4250  6195    49  0.086 0.399 0.515 0.077 0.360 0.563
   315 24092 10256  4317  6165    49  0.085 0.398 0.517 0.077 0.362 0.561
   320 23876 10541  4306  5987    49  0.085 0.399 0.517 0.075 0.362 0.563
   325 23490 10340  4194  6065    49  0.083 0.398 0.518 0.074 0.363 0.563
   330 23083 10212  4251  5764    49  0.082 0.398 0.520 0.074 0.362 0.564
   335 23007 10003  4209  5802    49  0.082 0.397 0.521 0.074 0.362 0.564
   340 23068  9984  4270  5768    48  0.081 0.395 0.524 0.073 0.360 0.567
   345 23188 10155  4142  5806    48  0.080 0.393 0.527 0.072 0.360 0.569
   350 23110  9861  4321  5750    48  0.079 0.393 0.528 0.071 0.360 0.569
   355 22691  9791  4117  5693    48  0.078 0.392 0.530 0.070 0.361 0.569
   360 22528  9999  4111  5636    48  0.078 0.392 0.530 0.070 0.361 0.569
   365 22655  9824  4179  5605    48  0.077 0.391 0.532 0.069 0.361 0.570
   370 22432  9815  4218  5533    48  0.077 0.389 0.534 0.069 0.358 0.573
   375 22489  9903  4225  5510    48  0.077 0.388 0.535 0.069 0.358 0.573
   380 22038  9469  4165  5385    48  0.077 0.387 0.537 0.068 0.357 0.575
   385 21925  9495  4121  5438    48  0.076 0.385 0.539 0.067 0.357 0.577
