 nmt =               50
 dmf =      T
 dff =      F
 vgr =        5.00000007E-02
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.333 0.334   NaN   NaN   NaN
     5 47671 12790  2135  9750    50  0.304 0.348 0.348 0.238 0.249 0.514
    10 44869 12021  2252  9314    50  0.267 0.347 0.387 0.207 0.237 0.556
    15 43427 11513  2191  9193    50  0.235 0.341 0.424 0.181 0.228 0.591
    20 42062 11322  2317  8847    50  0.211 0.334 0.455 0.158 0.218 0.625
    25 41269 10975  2430  8608    50  0.189 0.329 0.482 0.140 0.207 0.653
    30 39797 10833  2332  8058    50  0.175 0.326 0.500 0.125 0.201 0.674
    35 38940 10428  2349  8090    50  0.161 0.325 0.515 0.115 0.197 0.688
    40 38283 10214  2279  7808    50  0.151 0.323 0.526 0.105 0.191 0.705
    45 38106 10232  2354  7780    50  0.141 0.323 0.536 0.097 0.185 0.718
    50 37484 10042  2264  7663    50  0.136 0.325 0.539 0.092 0.185 0.723
    55 37280  9804  2454  7549    50  0.130 0.327 0.543 0.086 0.184 0.730
    60 37171 10046  2352  7586    50  0.127 0.334 0.539 0.081 0.184 0.735
    65 38022 10026  2351  7837    50  0.123 0.340 0.537 0.079 0.185 0.736
    70 38098 10199  2333  7934    50  0.120 0.348 0.532 0.075 0.184 0.741
    75 38552 10321  2268  8122    50  0.118 0.353 0.530 0.073 0.184 0.743
    80 39171 10607  2372  8322    50  0.115 0.358 0.527 0.070 0.185 0.745
    85 39546 10679  2353  8230    50  0.111 0.359 0.530 0.066 0.182 0.752
    90 39644 10527  2365  8381    50  0.107 0.359 0.533 0.062 0.179 0.759
    95 39436 10736  2362  8310    50  0.105 0.363 0.532 0.061 0.182 0.757
   100 40157 10535  2323  8449    50  0.103 0.367 0.530 0.058 0.182 0.759
   105 40304 10800  2350  8426    50  0.099 0.369 0.531 0.056 0.177 0.767
   110 40262 10762  2347  8428    50  0.096 0.370 0.534 0.054 0.177 0.770
   115 40356 10751  2300  8508    50  0.095 0.370 0.535 0.052 0.177 0.771
   120 40441 10761  2306  8544    50  0.093 0.372 0.535 0.051 0.177 0.772
   125 40816 10977  2336  8618    50  0.092 0.373 0.535 0.050 0.178 0.773
   130 40824 10885  2319  8404    50  0.089 0.373 0.537 0.048 0.174 0.778
   135 40886 10842  2375  8565    50  0.088 0.371 0.542 0.048 0.175 0.777
   140 40793 10719  2285  8575    50  0.085 0.367 0.548 0.045 0.172 0.783
   145 40039 10656  2347  8397    50  0.083 0.366 0.551 0.044 0.174 0.782
   150 40360 10631  2357  8461    50  0.081 0.364 0.554 0.044 0.175 0.781
   155 40155 10664  2311  8378    50  0.080 0.365 0.555 0.043 0.174 0.783
   160 40297 10886  2256  8512    50  0.079 0.367 0.554 0.042 0.175 0.783
   165 39869 10804  2316  8263    50  0.078 0.363 0.559 0.042 0.175 0.783
   170 39447 10721  2310  8198    50  0.076 0.361 0.563 0.041 0.176 0.783
   175 39742 10505  2357  8291    50  0.075 0.361 0.564 0.041 0.177 0.782
   180 39285 10523  2327  8116    50  0.074 0.359 0.568 0.040 0.176 0.783
   185 39644 10450  2319  8304    50  0.073 0.356 0.571 0.040 0.177 0.783
   190 39278 10624  2313  8134    50  0.072 0.356 0.572 0.038 0.172 0.790
   195 39162 10396  2347  8066    50  0.071 0.355 0.573 0.038 0.174 0.788
   200 38740 10475  2366  8173    50  0.069 0.352 0.579 0.039 0.177 0.785
   205 38652 10336  2351  8043    50  0.068 0.350 0.582 0.038 0.179 0.783
   210 38858 10328  2360  8162    50  0.067 0.350 0.583 0.037 0.178 0.784
   215 38790 10269  2298  8013    50  0.067 0.348 0.585 0.038 0.179 0.784
   220 38420 10410  2383  7952    50  0.066 0.346 0.588 0.037 0.179 0.784
   225 38575 10319  2383  7930    50  0.065 0.344 0.591 0.037 0.179 0.783
   230 38555 10294  2373  7849    50  0.064 0.342 0.595 0.036 0.174 0.790
   235 37652 10202  2276  7727    50  0.063 0.337 0.600 0.036 0.176 0.788
   240 37496 10159  2275  7799    50  0.061 0.334 0.605 0.035 0.175 0.790
   245 37427 10058  2329  7717    50  0.061 0.333 0.607 0.035 0.173 0.792
   250 37277  9985  2341  7583    50  0.060 0.333 0.607 0.035 0.175 0.791
   255 36984  9945  2411  7475    50  0.059 0.331 0.610 0.034 0.174 0.792
   260 36760  9751  2393  7418    50  0.058 0.329 0.613 0.033 0.173 0.793
   265 36564  9926  2329  7453    50  0.058 0.327 0.615 0.034 0.173 0.793
   270 36120  9567  2295  7355    50  0.057 0.324 0.619 0.034 0.175 0.792
   275 36015  9652  2348  7269    50  0.057 0.324 0.619 0.033 0.174 0.792
   280 35934  9701  2329  7211    50  0.056 0.320 0.623 0.033 0.174 0.793
   285 36057  9603  2324  7332    50  0.055 0.321 0.623 0.033 0.174 0.794
   290 35821  9489  2337  7180    50  0.054 0.317 0.629 0.033 0.175 0.792
   295 35478  9489  2357  7065    50  0.054 0.316 0.630 0.032 0.173 0.795
   300 35138  9411  2243  7163    50  0.054 0.314 0.632 0.032 0.173 0.795
   305 35248  9397  2349  7023    50  0.053 0.312 0.634 0.032 0.173 0.794
   310 34732  9330  2392  6914    50  0.053 0.310 0.637 0.032 0.175 0.793
   315 34998  9355  2349  6913    50  0.052 0.310 0.638 0.032 0.174 0.794
   320 35029  9330  2421  7059    50  0.052 0.307 0.641 0.033 0.176 0.792
   325 34909  9508  2387  6925    50  0.052 0.307 0.641 0.032 0.172 0.796
   330 34667  9257  2509  6843    49  0.052 0.303 0.645 0.032 0.171 0.796
   335 34245  9309  2342  6743    49  0.051 0.302 0.647 0.032 0.172 0.796
   340 33830  9005  2291  6592    49  0.051 0.300 0.649 0.032 0.169 0.799
   345 33192  9105  2328  6539    49  0.050 0.295 0.655 0.031 0.167 0.802
   350 32626  9003  2365  6429    49  0.050 0.296 0.654 0.032 0.170 0.798
   355 32872  8893  2456  6409    49  0.050 0.295 0.655 0.032 0.173 0.794
   360 32826  8744  2391  6426    49  0.050 0.295 0.655 0.033 0.176 0.791
   365 32746  8818  2313  6405    49  0.050 0.293 0.658 0.032 0.175 0.792
   370 33001  8903  2322  6569    49  0.050 0.290 0.660 0.032 0.176 0.791
   375 32327  8878  2322  6348    49  0.049 0.290 0.661 0.033 0.174 0.793
   380 32514  8742  2371  6430    49  0.049 0.290 0.661 0.032 0.173 0.795
   385 32583  8676  2437  6363    48  0.049 0.286 0.665 0.032 0.175 0.793
   390 31933  8733  2362  6259    48  0.048 0.286 0.666 0.032 0.175 0.794
   395 32230  8668  2340  6302    48  0.048 0.284 0.668 0.032 0.175 0.792
   400 32069  8642  2415  6250    48  0.048 0.284 0.668 0.032 0.176 0.792
   405 32232  8544  2370  6265    48  0.048 0.282 0.670 0.032 0.174 0.794
   410 31478  8467  2308  6072    48  0.048 0.280 0.672 0.032 0.169 0.799
   415 30907  8436  2310  5859    48  0.048 0.278 0.674 0.032 0.170 0.798
   420 30897  8282  2307  6040    48  0.047 0.277 0.676 0.032 0.172 0.796
   425 30424  8249  2400  5799    48  0.047 0.277 0.676 0.032 0.175 0.793
   430 31006  8109  2368  6012    48  0.046 0.275 0.679 0.032 0.175 0.792
   435 30742  8203  2375  5883    48  0.046 0.272 0.681 0.033 0.175 0.792
   440 30658  8170  2393  5929    48  0.046 0.273 0.681 0.032 0.172 0.796
   445 30299  8301  2346  5769    48  0.046 0.270 0.683 0.033 0.173 0.795
   450 30135  8115  2297  5726    48  0.046 0.270 0.684 0.032 0.171 0.797
   455 29790  8213  2266  5736    48  0.045 0.269 0.686 0.032 0.171 0.797
   460 29899  7975  2308  5618    48  0.046 0.268 0.686 0.032 0.173 0.795
   465 29717  8048  2287  5634    48  0.045 0.267 0.688 0.032 0.172 0.796
   470 29594  8067  2262  5637    48  0.045 0.266 0.689 0.032 0.173 0.795
   475 29899  8036  2362  5687    48  0.045 0.265 0.690 0.032 0.173 0.795
   480 29596  8021  2236  5514    48  0.045 0.263 0.693 0.032 0.171 0.797
   485 29219  7894  2341  5596    48  0.045 0.262 0.693 0.032 0.170 0.798
   490 28784  7766  2305  5523    48  0.045 0.264 0.692 0.032 0.172 0.796
   495 28368  7822  2298  5288    48  0.044 0.260 0.695 0.033 0.173 0.794
   500 28087  7597  2235  5293    48  0.045 0.260 0.696 0.033 0.175 0.793
   505 28178  7574  2340  5303    48  0.045 0.258 0.697 0.033 0.175 0.792
   510 28092  7521  2289  5344    48  0.045 0.257 0.698 0.033 0.176 0.791
   515 28473  7703  2261  5345    48  0.044 0.257 0.698 0.033 0.176 0.791
   520 28154  7764  2292  5329    48  0.045 0.256 0.699 0.033 0.175 0.792
   525 27879  7531  2331  5177    48  0.045 0.254 0.701 0.034 0.177 0.790
   530 27647  7571  2300  5130    48  0.044 0.253 0.703 0.033 0.174 0.793
   535 27594  7476  2358  5084    48  0.044 0.251 0.705 0.033 0.175 0.792
   540 27108  7395  2285  5073    48  0.044 0.251 0.706 0.033 0.173 0.795
   545 26675  7357  2307  4889    48  0.044 0.249 0.707 0.033 0.173 0.794
   550 26925  7170  2305  4924    48  0.044 0.245 0.711 0.033 0.174 0.792
   555 26719  7375  2295  4866    48  0.044 0.247 0.710 0.033 0.174 0.793
