 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         1.00000005E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.333 0.334 0.333   NaN   NaN   NaN
     5 52912 14042  4017 10030    50  0.310 0.347 0.343 0.241 0.247 0.512
    10 51674 14077  4101  9728    50  0.277 0.340 0.383 0.210 0.226 0.564
    15 50336 13939  4070  9337    50  0.250 0.332 0.418 0.183 0.209 0.608
    20 49047 13352  4319  8854    50  0.228 0.320 0.451 0.161 0.194 0.645
    25 48095 12988  4195  8459    50  0.212 0.309 0.479 0.143 0.179 0.678
    30 46451 12515  4350  8154    50  0.196 0.302 0.502 0.128 0.168 0.704
    35 45547 12315  4353  7818    50  0.186 0.298 0.516 0.118 0.158 0.724
    40 45121 12057  4426  7838    50  0.177 0.295 0.528 0.110 0.153 0.737
    45 43984 12156  4446  7519    50  0.170 0.296 0.535 0.102 0.144 0.754
    50 43830 11989  4451  7356    50  0.162 0.298 0.540 0.096 0.141 0.763
    55 43549 12016  4512  7347    50  0.158 0.302 0.540 0.092 0.139 0.769
    60 43639 11768  4564  7504    50  0.156 0.309 0.536 0.087 0.138 0.774
    65 44585 11896  4532  7675    50  0.153 0.315 0.532 0.083 0.137 0.779
    70 44724 12293  4476  7772    50  0.150 0.319 0.531 0.081 0.139 0.781
    75 44845 12355  4457  7868    50  0.147 0.325 0.528 0.075 0.137 0.789
    80 45361 12179  4436  8058    50  0.145 0.332 0.523 0.072 0.136 0.791
    85 46033 12378  4344  8100    50  0.143 0.337 0.520 0.070 0.136 0.794
    90 46213 12564  4375  8317    50  0.140 0.344 0.516 0.068 0.137 0.795
    95 46356 12504  4462  8182    50  0.137 0.344 0.519 0.065 0.136 0.799
   100 46305 12556  4314  8233    50  0.134 0.348 0.518 0.061 0.131 0.807
   105 46578 12679  4338  8391    50  0.132 0.350 0.519 0.060 0.134 0.806
   110 46143 12621  4437  8185    50  0.129 0.352 0.519 0.058 0.133 0.809
   115 46319 12498  4429  8422    50  0.128 0.354 0.518 0.058 0.134 0.809
   120 46315 12424  4320  8393    50  0.126 0.352 0.521 0.057 0.134 0.809
   125 46333 12637  4320  8290    50  0.124 0.352 0.523 0.056 0.135 0.809
   130 47072 12776  4413  8400    50  0.123 0.353 0.524 0.056 0.134 0.810
   135 46723 12699  4331  8326    50  0.121 0.352 0.527 0.055 0.134 0.811
   140 46703 12715  4286  8345    50  0.120 0.354 0.526 0.054 0.131 0.815
   145 46958 12687  4417  8327    50  0.119 0.352 0.529 0.054 0.132 0.814
   150 46666 12764  4221  8308    50  0.117 0.351 0.532 0.053 0.130 0.817
   155 46317 12459  4377  8106    50  0.115 0.348 0.537 0.052 0.129 0.820
   160 46553 12675  4373  8273    50  0.114 0.348 0.539 0.052 0.131 0.818
   165 46420 12691  4349  8397    50  0.112 0.347 0.541 0.051 0.130 0.819
   170 46591 12545  4444  8158    50  0.112 0.345 0.543 0.050 0.128 0.822
   175 46248 12571  4371  8101    50  0.110 0.343 0.548 0.050 0.129 0.820
   180 46001 12604  4413  8165    50  0.109 0.338 0.553 0.050 0.128 0.822
   185 45752 12647  4426  8046    50  0.108 0.336 0.557 0.050 0.130 0.820
   190 45596 12504  4320  7877    50  0.107 0.336 0.557 0.049 0.127 0.824
   195 45159 12359  4406  7891    50  0.106 0.333 0.562 0.049 0.128 0.823
   200 45673 12298  4413  7965    50  0.105 0.332 0.563 0.050 0.130 0.821
   205 45617 12453  4410  8106    50  0.103 0.329 0.568 0.049 0.129 0.823
   210 44866 12366  4281  7739    50  0.102 0.327 0.571 0.049 0.130 0.822
   215 45133 12279  4526  7777    50  0.101 0.326 0.573 0.049 0.130 0.821
   220 44973 12304  4400  7840    50  0.100 0.324 0.576 0.048 0.128 0.825
   225 44525 12155  4536  7662    50  0.099 0.320 0.581 0.047 0.127 0.825
   230 44603 12043  4388  7732    50  0.098 0.319 0.583 0.047 0.127 0.825
   235 44538 12283  4414  7641    50  0.098 0.319 0.583 0.047 0.126 0.828
   240 44641 12118  4513  7789    50  0.097 0.318 0.585 0.046 0.126 0.828
   245 44844 12164  4468  7676    50  0.096 0.315 0.588 0.046 0.126 0.828
   250 44449 12226  4404  7682    50  0.096 0.315 0.589 0.047 0.128 0.825
   255 44408 11977  4424  7731    50  0.095 0.312 0.593 0.047 0.129 0.824
   260 44268 12134  4432  7600    50  0.094 0.310 0.595 0.047 0.129 0.824
   265 43983 12084  4448  7476    50  0.094 0.308 0.598 0.046 0.125 0.829
   270 43341 11991  4432  7351    50  0.093 0.305 0.603 0.045 0.126 0.829
   275 42969 11817  4408  7312    50  0.092 0.302 0.606 0.045 0.126 0.828
   280 42892 11900  4534  7239    50  0.091 0.299 0.610 0.046 0.127 0.827
   285 42886 11555  4524  7213    50  0.091 0.297 0.612 0.046 0.129 0.825
   290 43184 11740  4484  7249    50  0.090 0.297 0.613 0.046 0.128 0.826
   295 42982 11692  4506  7274    50  0.090 0.296 0.614 0.045 0.127 0.828
   300 42706 11716  4533  7193    50  0.089 0.293 0.618 0.046 0.128 0.826
   305 42901 11699  4502  7138    50  0.088 0.291 0.620 0.046 0.129 0.826
   310 42882 11868  4418  7134    50  0.088 0.290 0.622 0.045 0.128 0.826
   315 42692 11534  4617  7070    50  0.087 0.287 0.625 0.045 0.127 0.828
   320 42088 11584  4387  6960    50  0.086 0.283 0.631 0.044 0.125 0.831
   325 41668 11502  4446  6916    50  0.085 0.282 0.633 0.044 0.126 0.830
   330 41647 11417  4520  6955    50  0.085 0.280 0.635 0.045 0.128 0.828
   335 41875 11277  4522  6870    50  0.085 0.278 0.637 0.045 0.127 0.829
   340 41302 11252  4559  6705    50  0.084 0.278 0.637 0.044 0.127 0.828
   345 41772 11267  4568  6935    50  0.084 0.277 0.639 0.044 0.126 0.830
   350 41911 11442  4497  6893    50  0.083 0.275 0.642 0.044 0.126 0.830
   355 41728 11234  4569  6754    50  0.082 0.273 0.645 0.043 0.125 0.832
   360 41186 11266  4593  6551    50  0.081 0.270 0.649 0.043 0.124 0.833
   365 41105 11217  4641  6498    50  0.080 0.267 0.653 0.043 0.124 0.833
   370 40585 11157  4551  6501    50  0.080 0.265 0.655 0.043 0.121 0.836
   375 40197 11058  4568  6437    50  0.079 0.261 0.660 0.043 0.122 0.836
   380 40450 10927  4567  6474    49  0.079 0.260 0.662 0.043 0.123 0.835
   385 39841 11213  4467  6345    49  0.078 0.257 0.665 0.043 0.123 0.834
   390 39793 10984  4507  6397    49  0.077 0.254 0.670 0.043 0.123 0.834
   395 39936 11009  4602  6336    49  0.077 0.255 0.668 0.043 0.123 0.835
   400 40107 10979  4773  6290    49  0.077 0.253 0.670 0.043 0.123 0.835
   405 39733 10853  4657  6137    49  0.077 0.252 0.671 0.042 0.122 0.836
   410 39268 10862  4580  6196    49  0.076 0.249 0.675 0.042 0.121 0.837
