 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =        0.100000001    
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
     0 60000     0     0     0    50  0.332 0.334 0.334   NaN   NaN   NaN
     5 52934 14396  3956 10123    50  0.312 0.345 0.343 0.239 0.244 0.516
    10 51274 13809  4179  9515    50  0.285 0.339 0.377 0.209 0.220 0.571
    15 50134 13733  4247  9138    50  0.260 0.331 0.409 0.183 0.203 0.614
    20 48924 13037  4098  8782    50  0.242 0.324 0.434 0.162 0.186 0.652
    25 48021 12832  4253  8504    50  0.227 0.317 0.456 0.146 0.172 0.682
    30 46484 12602  4202  8154    50  0.218 0.313 0.469 0.133 0.161 0.706
    35 45564 12375  4455  7987    50  0.207 0.312 0.482 0.123 0.150 0.726
    40 44607 12509  4419  7820    50  0.200 0.310 0.490 0.116 0.146 0.738
    45 44482 12188  4504  7587    50  0.196 0.312 0.492 0.112 0.142 0.746
    50 44529 12104  4430  7657    50  0.191 0.315 0.494 0.107 0.137 0.756
    55 44480 12078  4387  7646    50  0.187 0.322 0.492 0.104 0.138 0.758
    60 44721 12347  4383  7846    50  0.183 0.326 0.490 0.101 0.137 0.762
    65 45267 12196  4350  8134    50  0.182 0.335 0.483 0.098 0.138 0.764
    70 45452 12481  4413  7835    50  0.181 0.342 0.477 0.097 0.136 0.767
    75 46004 12503  4400  8250    50  0.180 0.346 0.474 0.094 0.138 0.768
    80 46378 12644  4319  8230    50  0.178 0.352 0.470 0.092 0.133 0.775
    85 46201 12505  4423  8222    50  0.176 0.356 0.467 0.091 0.130 0.779
    90 46211 12664  4295  8353    50  0.177 0.359 0.464 0.090 0.132 0.778
    95 46355 12799  4347  8217    50  0.176 0.360 0.464 0.087 0.130 0.783
   100 46716 12910  4322  8405    50  0.173 0.362 0.465 0.086 0.130 0.783
   105 46735 12796  4293  8319    50  0.172 0.362 0.466 0.084 0.128 0.788
   110 46847 12723  4362  8490    50  0.171 0.366 0.463 0.084 0.128 0.787
   115 47053 12801  4446  8425    50  0.170 0.368 0.462 0.083 0.128 0.789
   120 46900 12694  4362  8317    50  0.168 0.368 0.463 0.082 0.128 0.790
   125 47326 12780  4411  8420    50  0.168 0.371 0.461 0.082 0.128 0.790
   130 47424 12773  4424  8331    50  0.168 0.369 0.462 0.081 0.127 0.793
   135 47431 12918  4297  8602    50  0.170 0.372 0.458 0.081 0.127 0.792
   140 47050 12888  4270  8354    50  0.169 0.372 0.458 0.081 0.125 0.794
   145 47013 12811  4379  8527    50  0.171 0.373 0.456 0.080 0.125 0.796
   150 47086 12753  4292  8467    50  0.170 0.374 0.456 0.081 0.129 0.791
   155 47325 12989  4229  8561    50  0.169 0.375 0.456 0.079 0.127 0.793
   160 47552 12798  4255  8672    50  0.167 0.375 0.457 0.079 0.128 0.793
   165 47710 12744  4352  8568    50  0.168 0.376 0.456 0.079 0.128 0.793
   170 47376 12937  4302  8533    50  0.168 0.375 0.457 0.078 0.126 0.797
   175 47563 12923  4346  8571    50  0.168 0.375 0.457 0.078 0.125 0.797
   180 47279 12931  4277  8563    50  0.168 0.376 0.456 0.079 0.125 0.797
   185 47184 12990  4339  8490    50  0.169 0.378 0.453 0.079 0.126 0.796
   190 47400 12876  4328  8448    50  0.169 0.379 0.452 0.079 0.127 0.795
   195 47560 12888  4332  8627    50  0.169 0.378 0.453 0.078 0.127 0.795
   200 47657 12745  4401  8528    50  0.168 0.380 0.452 0.076 0.126 0.798
   205 47601 12929  4232  8494    50  0.167 0.380 0.453 0.079 0.124 0.797
   210 47508 12773  4336  8642    50  0.165 0.378 0.457 0.079 0.125 0.796
   215 47381 12878  4309  8481    50  0.165 0.378 0.457 0.079 0.126 0.795
   220 47942 12956  4425  8600    50  0.168 0.378 0.454 0.078 0.124 0.798
   225 47368 12894  4241  8510    50  0.168 0.378 0.454 0.077 0.125 0.797
   230 47429 12842  4351  8610    50  0.168 0.378 0.454 0.078 0.126 0.796
   235 47474 13008  4318  8500    50  0.169 0.381 0.450 0.078 0.126 0.796
   240 47432 12757  4375  8544    50  0.167 0.379 0.454 0.078 0.125 0.798
   245 47426 12739  4249  8487    50  0.168 0.374 0.459 0.077 0.125 0.797
   250 47282 12848  4268  8613    50  0.167 0.373 0.459 0.078 0.128 0.795
   255 47457 12934  4243  8663    50  0.169 0.377 0.454 0.078 0.130 0.791
   260 47652 12834  4211  8696    50  0.170 0.377 0.453 0.078 0.129 0.794
   265 47374 12904  4291  8628    50  0.169 0.378 0.453 0.076 0.128 0.796
   270 47462 12957  4292  8545    50  0.169 0.374 0.457 0.078 0.127 0.795
   275 47377 12882  4365  8582    50  0.167 0.374 0.459 0.079 0.127 0.795
   280 47565 12760  4212  8746    50  0.169 0.377 0.454 0.080 0.129 0.791
   285 47891 12902  4329  8690    50  0.170 0.380 0.449 0.079 0.132 0.789
   290 47938 13015  4266  8572    50  0.169 0.380 0.451 0.079 0.132 0.789
   295 47652 12923  4337  8579    50  0.168 0.377 0.455 0.078 0.128 0.794
   300 47541 12691  4294  8673    50  0.167 0.376 0.457 0.077 0.126 0.796
   305 47302 12961  4398  8502    50  0.168 0.376 0.456 0.079 0.130 0.792
   310 47463 12833  4254  8620    50  0.168 0.377 0.455 0.078 0.130 0.791
   315 47697 12793  4273  8687    50  0.166 0.378 0.456 0.079 0.130 0.791
   320 47536 12864  4144  8524    50  0.168 0.379 0.453 0.078 0.125 0.797
   325 47817 12889  4356  8665    50  0.168 0.379 0.453 0.077 0.126 0.796
   330 47918 12969  4251  8726    50  0.166 0.376 0.458 0.077 0.125 0.799
   335 47483 13011  4333  8582    50  0.166 0.377 0.457 0.077 0.126 0.797
   340 47280 12850  4323  8484    50  0.167 0.377 0.457 0.078 0.126 0.796
   345 47373 13017  4261  8650    50  0.165 0.379 0.456 0.078 0.129 0.793
   350 47698 12965  4302  8790    50  0.166 0.380 0.454 0.078 0.128 0.794
   355 48109 12920  4321  8778    50  0.167 0.381 0.452 0.079 0.131 0.791
   360 47969 13029  4161  8732    50  0.170 0.382 0.449 0.080 0.129 0.791
   365 48044 12862  4243  8690    50  0.168 0.381 0.451 0.079 0.129 0.792
   370 48072 13020  4255  8665    50  0.168 0.382 0.449 0.078 0.127 0.795
   375 48013 12875  4285  8708    50  0.169 0.381 0.451 0.078 0.124 0.798
   380 47766 12879  4312  8578    50  0.167 0.377 0.455 0.078 0.125 0.798
   385 47457 12960  4314  8581    50  0.168 0.376 0.456 0.077 0.124 0.799
   390 47370 12789  4251  8569    50  0.168 0.379 0.454 0.078 0.126 0.795
   395 47721 13086  4280  8708    50  0.168 0.381 0.451 0.078 0.128 0.794
   400 47802 13068  4235  8745    50  0.168 0.381 0.451 0.079 0.127 0.795
   405 47669 12816  4392  8623    50  0.167 0.378 0.455 0.078 0.128 0.794
   410 47516 12983  4300  8717    50  0.169 0.380 0.451 0.079 0.128 0.793
   415 47476 12991  4199  8636    50  0.170 0.380 0.450 0.078 0.129 0.793
   420 48193 13028  4353  8790    50  0.169 0.380 0.451 0.079 0.129 0.792
   425 48202 13031  4335  8709    50  0.169 0.379 0.452 0.079 0.128 0.793
   430 47758 12968  4376  8556    50  0.171 0.375 0.454 0.078 0.124 0.798
   435 47269 12988  4491  8374    50  0.173 0.374 0.453 0.077 0.125 0.798
   440 47337 12964  4352  8497    50  0.171 0.372 0.457 0.076 0.124 0.800
   445 46988 12806  4356  8447    50  0.170 0.374 0.456 0.077 0.126 0.797
   450 47416 12894  4234  8608    50  0.171 0.378 0.451 0.078 0.127 0.795
   455 47421 12922  4343  8629    50  0.172 0.379 0.448 0.079 0.126 0.795
   460 47533 12959  4383  8543    50  0.173 0.377 0.450 0.079 0.128 0.792
   465 47185 12889  4241  8531    50  0.172 0.376 0.452 0.078 0.128 0.794
   470 47509 12847  4381  8560    50  0.173 0.378 0.448 0.078 0.130 0.792
   475 47532 12799  4328  8780    50  0.173 0.377 0.450 0.079 0.130 0.791
   480 47500 12923  4241  8619    50  0.170 0.379 0.451 0.078 0.129 0.793
   485 47872 13002  4358  8676    50  0.171 0.381 0.448 0.079 0.128 0.794
   490 47867 13247  4266  8637    50  0.170 0.380 0.450 0.078 0.126 0.796
   495 47693 12876  4338  8661    50  0.170 0.379 0.451 0.079 0.128 0.793
   500 47732 12764  4288  8658    50  0.169 0.380 0.451 0.079 0.127 0.795
   505 47565 12714  4249  8608    50  0.170 0.380 0.451 0.080 0.127 0.793
   510 47712 12938  4285  8645    50  0.171 0.380 0.449 0.079 0.127 0.793
   515 47789 12850  4424  8682    50  0.170 0.381 0.449 0.079 0.126 0.795
   520 47904 12816  4357  8593    50  0.169 0.380 0.450 0.078 0.130 0.791
   525 47634 13068  4247  8617    50  0.171 0.379 0.450 0.077 0.127 0.796
   530 47488 12837  4441  8581    50  0.171 0.379 0.450 0.079 0.129 0.793
   535 47496 12909  4401  8543    50  0.172 0.380 0.449 0.078 0.128 0.795
   540 47622 12776  4216  8571    50  0.170 0.378 0.452 0.079 0.127 0.794
   545 47346 12745  4278  8642    50  0.171 0.379 0.450 0.079 0.127 0.794
   550 47814 12861  4247  8554    50  0.173 0.379 0.448 0.080 0.130 0.791
   555 47648 12847  4313  8658    50  0.172 0.378 0.450 0.079 0.127 0.794
   560 47649 12989  4276  8590    50  0.173 0.374 0.453 0.079 0.127 0.793
   565 47276 12832  4290  8605    50  0.172 0.374 0.453 0.079 0.125 0.796
   570 47243 12811  4287  8315    50  0.171 0.375 0.454 0.080 0.125 0.795
   575 47240 12725  4373  8577    50  0.172 0.376 0.453 0.079 0.126 0.795
   580 47687 12899  4344  8603    50  0.171 0.375 0.455 0.079 0.126 0.794
   585 47598 12800  4351  8550    50  0.171 0.376 0.452 0.078 0.126 0.796
   590 47816 12794  4322  8649    50  0.170 0.378 0.451 0.078 0.128 0.795
   595 47854 12850  4369  8623    50  0.171 0.380 0.450 0.078 0.130 0.792
   600 48078 13117  4429  8754    50  0.170 0.383 0.447 0.078 0.127 0.795
   605 47606 13056  4324  8716    50  0.170 0.383 0.448 0.079 0.129 0.792
   610 47760 13225  4286  8703    50  0.170 0.382 0.448 0.078 0.129 0.794
