file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
mt_10.dat,7313,7313,7313,7313,7308,6724,4588,3271,3254,3130
mt_2.dat,5889,5889,5889,5889,5889,5880,4763,2982,2903,2645
mt_3.dat,7004,7004,7004,7001,6905,6765,4713,3261,3240,3023
mt_4.dat,7101,7101,7101,7101,7097,6468,4152,3457,3452,3281
mt_5.dat,7140,7140,7140,7140,7134,6852,5024,3249,3219,3099
mt_6.dat,7024,7024,7024,7024,7022,6657,4547,3066,3047,2935
mt_7.dat,7061,7061,7061,7061,7061,6601,4282,3233,3215,3120
mt_8.dat,7134,7134,7134,7134,7132,6896,4795,3232,3207,3104
mt_9.dat,7319,7319,7319,7319,7279,6702,4827,3249,3222,3095
vgr_0.1.dat,7234,7234,7234,7234,7233,6940,5130,3226,3178,3085
vgr_0.2.dat,9801,9801,9801,9798,9333,6975,4747,4556,4555,4540
vgr_0.3.dat,11716,11716,11716,11245,8384,5504,5251,5250,5250,5246
vgr_0.4.dat,12710,12689,12434,9941,6789,5559,5505,5505,5505,5505
vgr_0.5.dat,13335,13216,11695,8786,5747,4632,4595,4585,4585,4585
vgr_0.6.dat,13911,13147,10597,7896,5721,3210,2812,2766,2763,2757
vgr_0.7.dat,14318,12143,9543,7882,6243,4526,2479,1795,1684,1598
vgr_0.8.dat,14763,11996,7986,6479,5494,3995,2150,1750,1699,1549
vgr_0.9.dat,15283,11714,8404,6963,5811,4424,2771,1190,992,775
vgr_1.0.dat,15505,10993,7709,6786,5661,4158,2434,1335,744,456
spores_10.dat,14610,14610,14610,14610,14610,14610,14610,13864,7756,7153
spores_1.dat,7321,7321,7321,7321,7310,6823,4878,3259,3223,3115
spores_2.dat,8815,8815,8815,8815,8815,8798,8078,5539,4655,4640
spores_3.dat,10166,10166,10166,10166,10166,10166,10107,7541,5495,5478
spores_4.dat,11474,11474,11474,11474,11474,11474,11400,8955,5941,5883
spores_5.dat,12483,12483,12483,12483,12483,12483,12483,11649,6381,6014
spores_6.dat,13051,13051,13051,13051,13051,13051,13051,12199,6829,6345
spores_7.dat,13480,13480,13480,13480,13480,13480,13480,12902,7236,6664
spores_8.dat,14253,14253,14253,14253,14253,14253,14252,12999,7354,7044
spores_9.dat,14474,14474,14474,14474,14474,14474,14474,13741,7813,7161
dominance_0.1.dat,6233,6233,6233,6233,6227,5921,4751,3071,2294,362
dominance_0.2.dat,6870,6870,6870,6867,6773,6441,5000,2918,2323,923
dominance_0.3.dat,6792,6792,6792,6792,6788,6462,4872,2659,2393,1818
dominance_0.4.dat,7167,7167,7167,7167,7167,6713,4815,2750,2732,2524
dominance_0.5.dat,7219,7219,7219,7219,7215,6699,4890,3187,3135,3023
dominance_0.6.dat,7269,7269,7269,7269,7269,7167,5532,3544,3437,3348
dominance_0.7.dat,7412,7412,7412,7412,7412,7372,5878,3813,3712,3691
dominance_0.8.dat,7462,7462,7462,7462,7462,7452,6442,4074,3762,3736
dominance_0.9.dat,7696,7696,7696,7696,7696,7694,6810,4253,3976,3958
dominance_1.0.dat,7960,7960,7960,7960,7960,7960,7305,4818,4403,4391
