file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
mt_10.dat,6130,3183,2115,1917,1917,1917,1917,1917,1917,1917
mt_2.dat,6678,1642,1451,1451,1451,1451,1451,1451,1451,1451
mt_3.dat,6007,2230,2057,2055,2055,2055,2055,2055,2055,2055
mt_4.dat,6229,2319,1887,1885,1885,1885,1885,1885,1885,1885
mt_5.dat,6267,2492,1823,1812,1812,1812,1812,1812,1812,1812
mt_6.dat,6237,2588,1872,1839,1839,1839,1839,1839,1839,1839
mt_7.dat,6216,3064,2050,1977,1977,1977,1977,1977,1977,1977
mt_8.dat,6145,2843,2013,1962,1962,1962,1962,1962,1962,1962
mt_9.dat,6064,3230,1942,1811,1811,1811,1811,1811,1811,1810
vgr_0.1.dat,6069,3380,2158,1938,1930,1930,1930,1930,1930,1930
vgr_0.2.dat,6794,2823,1696,1635,1635,1635,1635,1635,1635,1635
vgr_0.3.dat,7124,2064,1174,1128,1116,1116,1116,1116,1116,1116
vgr_0.4.dat,7376,1949,794,779,779,777,777,777,777,777
vgr_0.5.dat,7494,2681,1159,771,712,697,697,697,697,697
vgr_0.6.dat,7481,3432,1754,1018,595,460,421,421,421,421
vgr_0.7.dat,7600,3569,1701,1393,810,463,272,245,236,231
vgr_0.8.dat,7835,3539,1906,1190,888,650,307,199,180,180
vgr_0.9.dat,7911,3204,1636,1245,908,655,356,133,84,75
vgr_1.0.dat,8041,2169,1316,1010,789,549,303,142,49,38
spores_10.dat,9989,2428,2115,2115,2115,2115,2115,2115,2115,2115
spores_1.dat,6036,3503,2353,1919,1899,1899,1899,1899,1899,1899
spores_2.dat,8728,2347,1764,1759,1759,1759,1759,1759,1759,1759
spores_3.dat,9409,2459,1967,1966,1966,1966,1966,1966,1966,1966
spores_4.dat,9687,2377,2039,2039,2039,2039,2039,2039,2039,2039
spores_5.dat,9838,2408,1999,1999,1999,1999,1999,1999,1999,1999
spores_6.dat,9906,2311,1994,1994,1994,1994,1994,1994,1994,1994
spores_7.dat,9952,2555,2143,2138,2138,2138,2138,2138,2138,2138
spores_8.dat,9967,2337,1978,1978,1978,1978,1978,1978,1978,1978
spores_9.dat,9976,2404,2006,2005,2005,2005,2005,2005,2005,2005
dominance_0.1.dat,4824,3988,3276,2768,2267,1688,1216,842,436,196
dominance_0.2.dat,5161,4107,3330,2404,1802,1483,1188,737,488,482
dominance_0.3.dat,5417,4287,3157,2277,1727,1208,1004,996,996,996
dominance_0.4.dat,5595,3542,2643,1826,1506,1501,1501,1501,1501,1501
dominance_0.5.dat,6002,3345,2168,1959,1954,1954,1954,1954,1954,1954
dominance_0.6.dat,6546,3290,2289,2240,2240,2240,2240,2240,2240,2240
dominance_0.7.dat,7247,2881,2261,2247,2247,2247,2247,2247,2247,2247
dominance_0.8.dat,7958,2392,1895,1886,1886,1886,1886,1886,1886,1886
dominance_0.9.dat,8473,2194,1801,1799,1799,1799,1799,1799,1799,1799
dominance_1.0.dat,8694,2214,1813,1809,1809,1809,1809,1809,1809,1809
