file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
link_0.00.dat,1624,1624,1624,1624,1624,1624,1624,1624,1624,13
link_0.05.dat,1615,1615,1615,1615,1615,1615,1615,1615,1615,38
link_0.10.dat,1582,1582,1582,1582,1582,1582,1582,1582,1581,27
link_0.15.dat,1631,1631,1631,1631,1631,1631,1631,1631,1631,20
link_0.20.dat,1675,1675,1675,1675,1675,1675,1675,1675,1675,67
link_0.25.dat,1640,1640,1640,1640,1640,1640,1640,1640,1640,116
link_0.30.dat,1619,1619,1619,1619,1619,1619,1619,1619,1619,87
link_0.35.dat,1579,1579,1579,1579,1579,1579,1579,1579,1579,185
link_0.40.dat,1450,1450,1450,1450,1450,1450,1450,1450,1450,238
link_0.45.dat,1510,1510,1510,1510,1510,1510,1510,1510,1510,347
link_0.50.dat,1421,1421,1421,1421,1421,1421,1421,1421,1421,457
link_0.55.dat,1527,1527,1527,1527,1527,1527,1527,1527,1527,358
link_0.60.dat,1363,1363,1363,1363,1363,1363,1363,1363,1363,567
link_0.65.dat,1497,1497,1497,1497,1497,1497,1497,1497,1497,531
link_0.70.dat,1338,1338,1338,1338,1338,1338,1338,1338,1338,675
link_0.75.dat,1323,1323,1323,1323,1323,1323,1323,1323,1321,618
link_0.80.dat,1569,1569,1569,1569,1569,1569,1569,1569,1544,560
link_0.85.dat,1911,1911,1911,1911,1911,1911,1911,1911,1732,638
link_0.90.dat,2277,2277,2277,2277,2277,2277,2277,2144,1658,1044
link_0.92.dat,2588,2588,2588,2588,2588,2588,2571,2225,1790,1465
link_0.95.dat,3002,3002,3002,3002,3001,2931,2582,2020,1991,1934
link_0.97.dat,3282,3282,3282,3271,3168,2849,2443,2430,2430,2423
link_0.99.dat,3937,3884,3686,3434,3284,3282,3282,3282,3282,3281
link_1.00.dat,4100,3807,3571,3518,3518,3518,3518,3518,3518,3518
