file,non-zero,gt0.1,gt0.2,gt0.3,gt0.4,gt0.5,gt0.6,gt0.7,gt0.8,gt0.9
link_0.00.dat,4063,4063,4063,4063,4063,4063,4063,4063,4063,81
link_0.05.dat,4205,4205,4205,4205,4205,4205,4205,4205,4203,19
link_0.10.dat,4173,4173,4173,4173,4173,4173,4173,4173,4173,18
link_0.15.dat,4223,4223,4223,4223,4223,4223,4223,4223,4223,108
link_0.20.dat,4075,4075,4075,4075,4075,4075,4075,4075,4074,106
link_0.25.dat,3934,3934,3934,3934,3934,3934,3934,3934,3934,71
link_0.30.dat,4010,4010,4010,4010,4010,4010,4010,4010,4010,359
link_0.35.dat,3829,3829,3829,3829,3829,3829,3829,3829,3829,262
link_0.40.dat,3671,3671,3671,3671,3671,3671,3671,3671,3671,283
link_0.45.dat,3658,3658,3658,3658,3658,3658,3658,3658,3658,355
link_0.50.dat,3604,3604,3604,3604,3604,3604,3604,3604,3604,524
link_0.55.dat,3647,3647,3647,3647,3647,3647,3647,3647,3647,531
link_0.60.dat,3375,3375,3375,3375,3375,3375,3375,3375,3375,929
link_0.65.dat,3258,3258,3258,3258,3258,3258,3258,3258,3255,993
link_0.70.dat,3211,3211,3211,3211,3211,3211,3211,3211,3211,960
link_0.75.dat,3675,3675,3675,3675,3675,3675,3675,3675,3672,991
link_0.80.dat,3645,3645,3645,3645,3645,3645,3645,3645,3563,1002
link_0.85.dat,4614,4614,4614,4614,4614,4614,4614,4607,3615,904
link_0.90.dat,5506,5506,5506,5506,5506,5506,5506,4821,2908,1586
link_0.92.dat,6279,6279,6279,6279,6279,6274,5994,4169,3002,2267
link_0.95.dat,7321,7321,7321,7321,7321,6921,5096,3239,3170,3073
link_0.97.dat,8209,8209,8209,8134,7026,5234,3720,3678,3678,3664
link_0.99.dat,9540,8843,7128,5721,4991,4977,4977,4977,4977,4977
link_1.00.dat,10014,7187,5655,5322,5322,5322,5322,5322,5322,5322
